ID	adj.P.Val	P.Value	logFC	Gene.symbol
228450_at	0.397	0.00083165	1.02253978	PLEKHA7
232574_at	0.397	0.00083962	-0.31117177	XYLT1
242264_at	0.397	0.00084232	-0.66288073	
203335_at	0.398	0.00085218	0.48232836	PHYH
234018_s_at	0.403	0.00087426	-0.27914229	SEL1L2
1555363_s_at	0.403	0.00088583	-0.43758865	LINC00663
202402_s_at	0.403	0.00088665	0.41677484	CARS
223022_s_at	0.403	0.00089929	0.2997872	VTA1
217167_x_at	0.403	0.00090829	0.55856025	GK
231975_s_at	0.403	0.00092063	0.38482252	MIER3
228835_at	0.403	0.00092563	0.50773809	
205433_at	0.403	0.00093412	0.95428482	BCHE
223509_at	0.403	0.00093689	-0.83791189	CLDN2
221015_s_at	0.403	0.00094085	0.38398951	CDADC1
219696_at	0.403	0.00095446	0.49296826	DENND1B
217979_at	0.403	0.00096034	-1.24836129	TSPAN13
209861_s_at	0.403	0.00097191	0.75016127	METAP2
229095_s_at	0.403	0.00097422	-0.83870367	LOC100507334///LOC100288570///LIMS3-LOC440895///LOC440895
201981_at	0.403	0.00098565	-0.23221686	PAPPA
219749_at	0.403	0.00099079	-0.46819726	SH2D4A
233506_at	0.403	0.00099176	1.23219072	
239186_at	0.403	0.00099594	0.31708784	SERPINB9P1
211478_s_at	0.407	0.0010199	0.92552555	DPP4
214439_x_at	0.407	0.00102418	-0.51918019	BIN1
227176_at	0.407	0.00102853	0.65060682	SLC2A13
215966_x_at	0.408	0.00103637	0.53143571	GK3P
212372_at	0.413	0.00105658	-0.38065962	MYH10
203939_at	0.415	0.00107108	-0.74248249	NT5E
244777_at	0.416	0.00109863	0.5496222	DCP2
200667_at	0.416	0.00110338	0.36741962	UBE2D3
244783_at	0.416	0.00111013	0.28658139	YAF2
224870_at	0.416	0.00112946	-0.79456107	DANCR
209034_at	0.416	0.00113463	0.77293836	PNRC1
230673_at	0.416	0.00114972	-0.32013145	PKHD1L1
202614_at	0.416	0.0011572	0.34933159	SLC30A9
212641_at	0.416	0.00115814	0.89495387	HIVEP2
228011_at	0.416	0.0011614	-0.37874783	FAM92A1
224883_at	0.416	0.00116496	0.98274468	BLOC1S6
241163_at	0.416	0.00116957	-0.25821301	
210451_at	0.416	0.00119537	0.79761315	PKLR
231672_at	0.416	0.00119559	0.3379592	LOC100653086
1557816_a_at	0.416	0.00120219	-0.27248672	LOC105379186
202537_s_at	0.416	0.00120475	0.71713977	CHMP2B
210374_x_at	0.416	0.00121265	-0.2090516	PTGER3
218047_at	0.416	0.00122073	0.37193922	OSBPL9
207535_s_at	0.416	0.00122831	0.33510885	NFKB2
235391_at	0.416	0.00124062	-0.46341078	FAM92A1
207714_s_at	0.416	0.00124889	-0.62477463	SERPINH1
203962_s_at	0.416	0.00125134	0.62041876	NEBL
225146_at	0.416	0.00126746	-0.40018014	FAM219A
243781_at	0.416	0.00127005	-0.28752218	
204365_s_at	0.416	0.00127347	-0.41256704	REEP1
236154_at	0.416	0.00128189	0.41095574	QKI
226013_at	0.416	0.00128364	0.36168537	TRAK1
224812_at	0.416	0.00129696	0.38438838	HIBADH
213393_at	0.416	0.00129965	0.52780819	MFSD9
228184_at	0.416	0.00130368	-0.77661483	DISP1
226822_at	0.416	0.00130495	-0.28651026	STOX2
227001_at	0.416	0.00132194	-0.64864858	NIPAL2
226016_at	0.416	0.00132551	0.52965322	CD47
202370_s_at	0.416	0.00132638	0.584619	CBFB
203434_s_at	0.416	0.00133785	1.30226361	MME
213375_s_at	0.416	0.00134608	0.71348219	N4BP2L1
203885_at	0.416	0.00135047	0.4429468	RAB21
230191_at	0.416	0.00136098	-0.34245807	TTBK1
227357_at	0.416	0.0013714	0.37114846	TAB3
1554452_a_at	0.416	0.00137274	0.58368567	HILPDA
201243_s_at	0.416	0.00137734	0.56958832	ATP1B1
237212_at	0.416	0.00138379	-0.66837053	
231754_at	0.418	0.00139785	-0.26307001	PCDHGC4
220658_s_at	0.419	0.00141585	1.02553805	ARNTL2
1569208_a_at	0.419	0.00141667	-0.27531832	
201963_at	0.421	0.00143219	0.47398874	ACSL1
234730_s_at	0.421	0.00143865	1.14499988	RIPK4
210455_at	0.427	0.00147499	0.20211302	R3HCC1L
206893_at	0.427	0.00148386	0.82975953	SALL1
223099_s_at	0.427	0.00148761	0.63441797	LOC100507577///LONP2
237385_at	0.427	0.0015024	-0.20632135	LINC00867
207217_s_at	0.427	0.00150728	-0.32905845	NOX1
221016_s_at	0.427	0.00151483	-0.4313033	TCF7L1
208203_x_at	0.427	0.00152714	-0.21868416	KIR2DS5
200965_s_at	0.427	0.00153622	1.07618099	ABLIM1
224294_at	0.427	0.00154073	-0.23754448	LOC100128185
232642_at	0.427	0.00156643	-0.26522502	VWA5B2
213289_at	0.427	0.00157657	0.4819711	APOOL
215492_x_at	0.427	0.00158124	-0.26163705	PTCRA
223348_x_at	0.427	0.00158171	-0.54089489	MUM1
1564521_x_at	0.427	0.00159662	-0.2903709	PRMT5
226268_at	0.427	0.00160339	0.40853409	RAB21
201316_at	0.427	0.00160535	0.45469565	PSMA2
225403_at	0.427	0.00161712	-0.4578589	RPP25L
207409_at	0.427	0.00162163	1.16648702	LECT2
243843_at	0.427	0.00162174	0.719855	N4BP2L1
231702_at	0.427	0.00162482	1.17465424	TDO2
37201_at	0.427	0.00162877	-0.87154865	ITIH4
231086_at	0.427	0.00163225	-0.42314731	
213444_at	0.428	0.00164794	-0.42208982	ZNF862
226041_at	0.428	0.00165173	-0.81813052	NAPEPLD
229283_at	0.428	0.00166194	-0.41455755	LOC728613
205677_s_at	0.428	0.00168037	-0.77299377	DLEU1
200776_s_at	0.428	0.00168179	0.78788705	BZW1
218182_s_at	0.428	0.00168624	1.01934948	CLDN1
231037_at	0.428	0.00169831	-0.97184999	
229377_at	0.428	0.00169857	-0.59238029	GRTP1
234667_at	0.428	0.00170624	-0.25700599	
244426_at	0.43	0.00172351	-0.19938342	
212465_at	0.44	0.00176859	0.28234566	SETD3
203435_s_at	0.44	0.00177977	0.72419907	MME
212659_s_at	0.448	0.00182373	0.85234393	IL1RN
235536_at	0.448	0.00182614	0.6745198	SNORD89
208786_s_at	0.451	0.00185779	0.92314724	MAP1LC3B
229273_at	0.451	0.00186474	0.7273583	SALL1
227993_at	0.451	0.00187239	0.96064284	METAP2
242957_at	0.451	0.00189056	-0.83846307	VWCE
219433_at	0.451	0.00191893	0.80017961	BCOR
200833_s_at	0.451	0.00192618	0.55298437	RAP1B
216120_s_at	0.451	0.00193038	-0.68100695	ATP2B2
219746_at	0.451	0.00193602	-0.28710429	DPF3
229310_at	0.451	0.00193789	1.85873293	KLHL29
209933_s_at	0.451	0.00194159	0.46868749	CD300A
200731_s_at	0.451	0.00194175	0.6277914	PTP4A1
214492_at	0.451	0.00194569	-0.2154428	SGCD
218669_at	0.451	0.00194853	0.41931896	RAP2C
200920_s_at	0.451	0.00196065	0.52124817	BTG1
216930_at	0.451	0.00196526	-0.32073007	HNF1A
200810_s_at	0.456	0.00199194	0.42476143	CIRBP
1564520_s_at	0.456	0.00200753	-0.43496014	PRMT5
59705_at	0.456	0.00201765	-0.29482398	SCLY
200777_s_at	0.456	0.00202817	0.49910216	BZW1
204633_s_at	0.456	0.00204405	1.27204515	RPS6KA5
230108_at	0.456	0.00204461	-0.27260552	ERCC6
205312_at	0.456	0.00204903	0.26166423	SPI1
201841_s_at	0.456	0.00205367	-0.67420175	HSPB1
1562785_at	0.456	0.00206407	-0.25598334	
206065_s_at	0.456	0.00206859	0.42124713	DPYS
235082_at	0.457	0.00208278	0.27449088	PCNX1
212771_at	0.458	0.00209425	-0.63707873	FAM171A1
210366_at	0.458	0.00210173	0.85365998	SLCO1B1
241375_at	0.46	0.00212075	0.53914475	USP38
227544_at	0.463	0.00214052	-0.24390048	TMEM229B
237248_at	0.465	0.00216075	1.17041182	PDE11A
218146_at	0.468	0.00218461	-0.65668166	GLT8D1
238178_at	0.469	0.0021959	1.11290923	
202165_at	0.469	0.00222928	0.53325146	PPP1R2
216243_s_at	0.469	0.00225074	1.38097866	IL1RN
1557688_at	0.469	0.00225494	0.52007215	
205476_at	0.469	0.00228103	2.57641417	CCL20
223098_s_at	0.469	0.00228832	0.52258921	LOC100507577///LONP2
226325_at	0.469	0.00229165	0.98630035	ADSSL1
237697_at	0.469	0.0022986	-0.26277251	LOC101928269///LOC100506403///RUNX1
237377_at	0.469	0.00231585	-0.27445202	
201685_s_at	0.469	0.00232966	0.27525596	TOX4
231179_at	0.469	0.0023389	1.32229203	IP6K3
230425_at	0.469	0.00235148	-0.92302823	EPHB1
229230_at	0.469	0.00235908	-0.92629248	SLC51A
212554_at	0.469	0.00236122	-0.49433196	CAP2
223529_at	0.469	0.00236447	-0.1995864	SYT4
234345_at	0.469	0.00237106	-0.22436824	LOC101929683
227530_at	0.469	0.00238601	0.89993312	AKAP12
214136_at	0.469	0.00239286	-1.22042216	NUDT13
209732_at	0.469	0.00239466	0.88311685	CLEC2B
231808_at	0.469	0.00239832	-0.3381	OIP5-AS1
229473_at	0.469	0.00240823	0.79175949	MAMDC4
214987_at	0.469	0.00240886	-0.30782642	GAB1
213010_at	0.469	0.00241737	-0.40517803	PRKCDBP
223982_s_at	0.469	0.00243508	0.67221265	PNPLA8
204755_x_at	0.469	0.00244119	0.65531686	HLF
1559092_at	0.469	0.00244154	-0.22432388	SLC9A5
1555661_at	0.469	0.0024446	-0.23797547	OR8D1
221601_s_at	0.469	0.00244678	0.30425816	FCMR
228653_at	0.469	0.00244795	-0.66677028	SAMD5
218793_s_at	0.469	0.00245601	0.32138658	SCML1
222192_s_at	0.469	0.00245666	-0.34500954	LDAH
234409_at	0.469	0.00246876	-0.17936422	ZNF354C
240121_x_at	0.469	0.00247613	-0.21845391	
203192_at	0.469	0.00249703	-0.52632984	ABCB6
226982_at	0.469	0.00252013	1.01779605	ELL2
222236_s_at	0.469	0.00253172	-0.49085963	ASAP3
209475_at	0.469	0.00253663	0.307617	MIR6125///USP15
233440_at	0.469	0.00254362	-0.34290566	
207275_s_at	0.469	0.00254515	0.65500577	ACSL1
222103_at	0.469	0.00255147	0.46992718	ATF1
204093_at	0.469	0.00256955	0.51915433	CCNH
204083_s_at	0.469	0.00257685	-0.64775077	TPM2
241381_at	0.469	0.00257848	-0.25713764	CXorf36
1563903_x_at	0.469	0.00257941	0.30213905	
223162_s_at	0.469	0.00258098	-0.32151923	KIAA1147
212357_at	0.469	0.00258522	-0.39203341	FAM168A
204074_s_at	0.469	0.00258811	-0.21513077	CEP104
223527_s_at	0.469	0.00261136	0.53220578	CDADC1
218880_at	0.469	0.0026139	1.11369811	FOSL2
236291_at	0.469	0.00263004	-0.23913641	RDH5
228583_at	0.469	0.00263373	-0.54723833	LIN52
213076_at	0.469	0.0026571	0.85775355	ITPKC
1554201_at	0.469	0.00265951	-0.34295314	CABP4
225182_at	0.469	0.00268717	-0.32306101	TMEM50B
244452_at	0.469	0.00269247	-0.20962034	ERLEC1
210638_s_at	0.469	0.00269658	0.33906919	FBXO9
218640_s_at	0.469	0.00270132	0.51238654	PLEKHF2
209089_at	0.469	0.00270249	0.56497046	RAB5A
224955_at	0.469	0.00270819	0.52272528	TEAD1
1557121_s_at	0.469	0.0027082	-0.37796617	HEATR6
1568249_at	0.469	0.00271159	-0.56492918	SNHG17///SNORA71B
202994_s_at	0.469	0.00271657	-0.51950048	FBLN1
1555390_at	0.474	0.00276707	-0.21407888	NOP9
203266_s_at	0.474	0.00276747	0.54602693	MAP2K4
244711_at	0.474	0.00277186	-0.35038414	
203921_at	0.475	0.00280402	0.39624045	CHST2
1557626_at	0.475	0.00283764	-0.3874948	
235299_at	0.475	0.00284583	0.58569682	SLC41A2
1569006_at	0.475	0.00284629	-0.27239371	LOC284379
219818_s_at	0.475	0.00285539	-0.28934034	GPATCH1
204457_s_at	0.475	0.00286374	-0.89965162	GAS1
201121_s_at	0.475	0.00286573	0.27399327	PGRMC1
203710_at	0.475	0.00287096	0.70211706	ITPR1
208934_s_at	0.475	0.00287755	0.94564795	LGALS8
207387_s_at	0.475	0.00288212	0.7431176	GK
201100_s_at	0.475	0.00291076	0.37230121	USP9X
1555889_a_at	0.475	0.00291448	-0.42114812	CRTAP
235509_at	0.475	0.0029241	0.77065649	LOC100506538///NDUFAF6
223310_x_at	0.475	0.00292662	0.61969321	PNPLA8
244689_at	0.475	0.00293154	-0.51133364	PPARA
242838_at	0.475	0.00293891	0.26448441	MAP6D1
203640_at	0.475	0.00294123	0.98899208	MBNL2
202932_at	0.475	0.00294363	0.54703275	YES1
207717_s_at	0.475	0.0029463	0.58773774	PKP2
211726_s_at	0.476	0.00296291	-0.45702901	FMO2
212696_s_at	0.476	0.00298886	0.35154032	RNF4
223703_at	0.476	0.00298911	0.48293834	C10orf11
212902_at	0.476	0.00299416	0.64178068	SEC24A
202538_s_at	0.476	0.0030016	0.61709772	CHMP2B
1554726_at	0.476	0.00301022	0.42287766	ZNF655
200880_at	0.476	0.00303958	0.4953983	DNAJA1
204618_s_at	0.476	0.00304392	0.46578567	GABPB1
240283_at	0.476	0.00305342	-0.2158604	
231828_at	0.476	0.00305956	-1.04810096	PSMD5-AS1
217836_s_at	0.476	0.00306415	0.33157012	YY1AP1
213677_s_at	0.476	0.00306484	-0.5525286	PMS1
205790_at	0.476	0.00307245	-0.60976453	SKAP1
225975_at	0.476	0.00307843	-0.50275126	PCDH18
207438_s_at	0.476	0.00309728	-0.27873406	SNUPN
207320_x_at	0.476	0.00311001	0.26468278	STAU1
210399_x_at	0.476	0.00311012	-0.47022955	FUT6
212201_at	0.476	0.003114	0.33849877	ANKLE2
207102_at	0.476	0.0031199	0.72333941	AKR1D1
209133_s_at	0.478	0.00314368	-0.26784511	COMMD4
224734_at	0.478	0.00314955	0.31851396	HMGB1
216217_at	0.479	0.00315949	-0.22739308	PLCL2
221724_s_at	0.482	0.00320108	0.54769937	CLEC4A
213200_at	0.482	0.00320959	-0.30298467	SYP
242677_at	0.482	0.00321082	1.20316414	
1552307_a_at	0.482	0.00321614	0.66860734	TTC39C
202079_s_at	0.485	0.00324386	0.43459128	TRAK1
202171_at	0.485	0.00325438	0.66350533	VEZF1
238036_at	0.485	0.00326191	-0.32037484	SHE
205933_at	0.487	0.00329073	0.61776557	SETBP1
213664_at	0.487	0.0032947	0.86175392	SLC1A1
202754_at	0.488	0.00331533	-0.34183137	R3HDM1
240067_at	0.488	0.00332839	-0.20999115	
228268_at	0.488	0.00332862	-0.80211194	FMO2
226118_at	0.488	0.0033427	-0.31053524	CENPO
1553732_s_at	0.488	0.00334609	-0.25513922	CEP89
213376_at	0.488	0.00335729	0.60111748	ZBTB1
211763_s_at	0.489	0.003371	0.5939748	UBE2B
244774_at	0.489	0.00338151	-0.99581192	PHACTR2
233541_at	0.496	0.00344955	-0.18168665	LIMD1-AS1
225546_at	0.496	0.0034554	-0.29152612	LOC101930123///EEF2K
201739_at	0.496	0.00346899	1.61205264	SGK1
225857_s_at	0.496	0.00348349	0.77308328	SNHG17
216790_at	0.496	0.00348368	-0.21504428	
208591_s_at	0.496	0.0034978	0.6760565	PDE3B
211676_s_at	0.496	0.00349866	1.25631623	IFNGR1
211999_at	0.496	0.00349925	0.67131293	MIR4738///H3F3B///H3F3A
229092_at	0.496	0.00352365	-0.27311417	NR2F2
230467_at	0.496	0.00352759	0.37465299	TMEM52
214901_at	0.496	0.00354779	0.2602821	ZNF8
220076_at	0.496	0.00355065	0.29722684	ANKH
219501_at	0.496	0.00356512	-0.25561045	ENOX1
1555952_at	0.496	0.00358127	0.30153306	SLC19A1
237049_at	0.496	0.003584	-0.30662156	
204092_s_at	0.496	0.00359924	-0.4508299	AURKA
226048_at	0.496	0.0036002	0.391518	MAPK8
206238_s_at	0.496	0.00360324	0.56329963	YAF2
228707_at	0.496	0.00361765	-0.57877647	CLDN23
203166_at	0.496	0.00362354	-0.60050501	CFDP1
238489_at	0.496	0.00363096	-0.17386928	PRKAA2
221904_at	0.496	0.00363111	0.38576404	FAM131A
232147_at	0.497	0.00368181	-0.24503297	SLX4
203824_at	0.497	0.00368313	-1.62681588	TSPAN8
218031_s_at	0.497	0.00369169	0.57047744	FOXN3
204704_s_at	0.497	0.00371201	0.58646392	ALDOB
209108_at	0.497	0.00372162	0.41142426	TSPAN6
226770_at	0.497	0.00372209	-0.38995836	MAGI3
219418_at	0.497	0.00372527	-0.4549316	SLC23A3///NHEJ1
230271_at	0.497	0.00373804	-0.62413243	ONECUT2
215990_s_at	0.497	0.00374276	0.92949949	BCL6
240872_at	0.497	0.00374846	-0.68083502	
225463_x_at	0.497	0.00374864	-0.34345833	GPR89A///GPR89B
213685_at	0.497	0.00376201	-0.7842938	TCEB3-AS1
1563781_at	0.497	0.00376391	-0.36692471	LOC101928623///LOC401320
222872_x_at	0.497	0.00377132	0.98406206	NABP1
203202_at	0.497	0.00377345	0.45836237	KRR1
201209_at	0.497	0.00377872	-0.40428289	HDAC1
203371_s_at	0.498	0.00379544	0.23396819	NDUFB3
222759_at	0.5	0.00384076	0.47691115	KMT5B
212215_at	0.5	0.00384197	-0.28758549	PREPL
203586_s_at	0.5	0.00384886	0.756357	ARL4D
205109_s_at	0.5	0.00386551	-0.27387335	LOC101930241///ARHGEF4
229857_s_at	0.5	0.00388118	-0.360332	KANSL1-AS1
226565_at	0.5	0.00391054	-0.46300957	TMEM99
208079_s_at	0.5	0.00394214	-0.57513575	AURKA
225442_at	0.5	0.00395476	0.51522579	DDR2
219544_at	0.5	0.00396115	-0.25923764	BORA
224204_x_at	0.5	0.00397049	0.81084283	ARNTL2
41660_at	0.5	0.00397534	-0.29329838	CELSR1
209412_at	0.5	0.00398996	0.33587611	LOC102724200///TRAPPC10
204916_at	0.5	0.00399658	-0.75336876	RAMP1
201099_at	0.5	0.00400167	0.58908809	USP9X
242994_at	0.5	0.00403088	0.31683972	
212770_at	0.5	0.00403267	0.9300882	TLE3
225275_at	0.5	0.00403893	-0.27147618	EDIL3
232972_at	0.5	0.00404321	-0.25830767	PRR29
228181_at	0.5	0.00404384	0.97603997	SLC30A1
226385_s_at	0.5	0.00406027	0.24362314	MALSU1
203265_s_at	0.5	0.00406234	0.6773909	MAP2K4
218350_s_at	0.5	0.00406628	-0.5782505	GMNN
228125_at	0.5	0.0040693	-0.21415626	ZSCAN30
222871_at	0.5	0.00407729	-0.24687686	KLHDC8A
202526_at	0.5	0.0040778	0.31307229	SMAD4
200921_s_at	0.5	0.00410208	0.5967676	BTG1
201880_at	0.5	0.0041398	0.25066492	ARIH1
229587_at	0.5	0.00414218	0.35551753	UBA2
203275_at	0.5	0.00414274	-0.34842183	IRF2
226746_s_at	0.5	0.00415277	-0.23440423	UBE4B
236926_at	0.5	0.00418722	-0.30991188	TBX1
226064_s_at	0.5	0.00420455	0.95832911	DGAT2
212793_at	0.5	0.00420961	-0.34910734	DAAM2
201367_s_at	0.5	0.00422169	0.60235564	ZFP36L2
1557287_at	0.5	0.00422637	-0.16812403	LOC101928231
205412_at	0.5	0.00423466	0.35902886	ACAT1
229287_at	0.5	0.00423612	0.4666548	PCNX1
238245_at	0.5	0.00423886	-0.53589752	ENPP7
221191_at	0.5	0.00425542	-0.3267122	STAG3L3
227883_at	0.5	0.00425922	0.82915735	CCDC71L
213596_at	0.5	0.00426267	1.40886111	CASP4
204570_at	0.5	0.00427667	-0.39170097	COX7A1
225213_at	0.5	0.00428757	0.52999208	PPTC7
212293_at	0.5	0.00429132	0.57446577	HIPK1
224480_s_at	0.5	0.00430951	1.16774007	GPAT3
235563_at	0.5	0.00431902	-0.21964223	GPRC5A
220618_s_at	0.5	0.00432398	-0.30170736	ZCWPW1
225996_at	0.5	0.00432824	0.45388914	LONRF2
211114_x_at	0.5	0.00434	-0.25324946	GEMIN2
209761_s_at	0.5	0.00434733	0.69985125	SP110
220191_at	0.5	0.0043571	-0.18078798	GKN1
206514_s_at	0.5	0.00435891	0.42702283	CYP4F2///CYP4F3
1565717_s_at	0.5	0.00438439	0.59426751	FUS
232233_at	0.5	0.00439501	-0.15959428	SLC22A16
224184_s_at	0.5	0.00442119	-0.21664198	BOC
211773_s_at	0.5	0.00442752	-0.2663411	ZKSCAN3
215206_at	0.5	0.00444131	0.97300683	
235706_at	0.5	0.00444258	0.49607053	CPM
203990_s_at	0.5	0.0044454	0.54756327	KDM6A
212551_at	0.5	0.00444651	-0.51290145	CAP2
53202_at	0.5	0.00444767	-0.22212631	C7orf25///PSMA2
222317_at	0.5	0.00445345	0.65406727	PDE3B
235456_at	0.5	0.00447154	-0.25433717	
211922_s_at	0.5	0.00448367	0.80258184	CAT
211586_s_at	0.5	0.00448973	-0.4226683	ATP2B2
226775_at	0.5	0.00449739	0.63326328	ENY2
203261_at	0.5	0.00450552	0.34880528	DCTN6
201977_s_at	0.5	0.00452112	-0.41750598	KIAA0141
210278_s_at	0.5	0.0045274	0.24406993	AP4S1
1553706_at	0.5	0.00453323	0.18175321	HTRA4
204160_s_at	0.5	0.00454082	0.55943998	ENPP4
224772_at	0.5	0.00454735	-0.23470289	NAV1
215557_at	0.5	0.0045529	-0.21141288	
207008_at	0.5	0.00455701	1.14896234	CXCR2
226248_s_at	0.5	0.00455885	0.28917673	KIAA1324
222078_at	0.5	0.00456083	0.4664708	PKLR
218538_s_at	0.5	0.00456152	0.33542141	MRS2
209253_at	0.5	0.00456751	-0.27003376	SORBS3
