
Generated at: 2021/01/12 18:39:16
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - NFIL3
CEBPD
RCAN1
TP53I3
THBS1
FOSB
ME1
GOLM1
EFHD1
TMEM45B
GADD45G
DNMT3L
IGFBP1
FOS
SOCS2
CRISPLD2
Micro RNA       - 
Minimum Score   - Very High


Gene Symbols input verification: (1)
Provided Gene Symbol,Suggestion,Updated Symbol at Database,Correct HUGO notation,HUGO Symbol ID,Approved Gene Symbol (HUGO),Previous Gene Symbol (HUGO),Gene Symbol Synonyms (HUGO)
ME1,P48163,,hsa-miR-30b-5p,0.78327023502658,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
RCAN1,P53805,,hsa-miR-107,0.780749477759519,21,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-206,0.776454886707468,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
RCAN1,P53805,,hsa-miR-103a-3p,0.77626215988125,20,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-338-3p,0.775303972958113,18,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan|TargetSpy
SOCS2,O14508,,hsa-miR-139-5p,0.766398771962875,19,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
FOSB,P53539,,hsa-miR-144-3p,0.764953915589812,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
CRISPLD2,Q9H0B8,,hsa-miR-376b-3p,0.761372650605368,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-1-3p,0.760815257341009,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan
ME1,P48163,,hsa-miR-30d-5p,0.759687040600003,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30a-5p,0.749976818984853,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-23b-3p,0.746285848859456,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-27a-3p,0.746074975679237,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-139-5p,0.743068513088405,14,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|RepTar|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-613,0.740288597271997,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan
FOSB,P53539,,hsa-miR-342-3p,0.736599878320241,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-613,0.736197841548338,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-98-5p,0.736083006557944,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetScan
ME1,P48163,,hsa-miR-30c-5p,0.735228554343302,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
CRISPLD2,Q9H0B8,,hsa-miR-145-5p,0.73199054252439,16,Very High,BCmicrO|CoMeTa|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|PITA|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-18a-5p,0.731293223391542,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|MultiMiTar|PACCMIT|RepTar|TargetScan
ME1,P48163,,hsa-miR-30e-5p,0.72876268619092,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-194-5p,0.728238371769282,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PITA|RepTar|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-222-3p,0.726895555226291,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|RepTar|TargetScan
RCAN1,P53805,,hsa-miR-33a-5p,0.724012725759743,19,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetScan
FOS,P01100,,hsa-miR-29a-3p,0.723173465988308,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RNAhybrid|TargetScan
CRISPLD2,Q9H0B8,,hsa-miR-376a-3p,0.722476378514297,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-let-7c-5p,0.718079054652904,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
NFIL3,Q16649,,hsa-miR-203a-3p,0.717937763286435,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid
RCAN1,P53805,,hsa-miR-33b-5p,0.711160771824453,19,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-23a-3p,0.710618195005479,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
RCAN1,P53805,,hsa-miR-330-3p,0.708507505350597,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-let-7f-5p,0.707736133971852,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
THBS1,P07996,,hsa-let-7i-5p,0.706715548366035,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
FOSB,P53539,,hsa-miR-1-3p,0.705715534154627,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-let-7g-5p,0.702444193787963,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
NFIL3,Q16649,,hsa-miR-489-3p,0.698631961868974,17,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|mirbase|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-18b-5p,0.695790928453107,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|MultiMiTar|PACCMIT|RepTar|TargetScan
RCAN1,P53805,,hsa-miR-506-3p,0.69055721565882,16,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank
GOLM1,Q8NBJ4,,hsa-miR-212-3p,0.689917544662863,18,Very High,BCmicrO|BiTargeting|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
NFIL3,Q16649,,hsa-miR-374a-5p,0.685112630835364,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|mirbase|miRDB|MirMAP|MirTar|PACCMIT|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-miR-221-3p,0.683113128387319,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|RepTar|TargetScan
CRISPLD2,Q9H0B8,,hsa-miR-527,0.682521830302557,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetSpy
RCAN1,P53805,,hsa-miR-34a-5p,0.681898118240457,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
NFIL3,Q16649,,hsa-miR-374b-5p,0.679715629407007,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|mirbase|miRDB|MirMAP|MirTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-152-3p,0.676685064422456,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
FOSB,P53539,,hsa-miR-27b-3p,0.674302307728611,14,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-148a-3p,0.674107498928932,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
THBS1,P07996,,hsa-let-7b-5p,0.669422837339605,12,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetScan
SOCS2,O14508,,hsa-miR-194-5p,0.668263127583433,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|PACCMIT|RNAhybrid|TargetScan
CRISPLD2,Q9H0B8,,hsa-miR-518a-5p,0.666337318451247,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetSpy
GOLM1,Q8NBJ4,,hsa-miR-143-3p,0.664058520348305,14,Very High,BCmicrO|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
THBS1,P07996,,hsa-let-7e-5p,0.658613966083519,12,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
RCAN1,P53805,,hsa-miR-34c-5p,0.657727220801556,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan|TargetSpy
RCAN1,P53805,,hsa-miR-449a,0.657100158411397,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOS,P01100,,hsa-miR-199b-3p,0.655989904612997,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|RNAhybrid|TargetScan|TargetSpy
THBS1,P07996,,hsa-let-7a-5p,0.655935183691986,11,Very High,CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetScan
SOCS2,O14508,,hsa-miR-7-5p,0.654408419067183,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-4262,0.648708731357269,12,Very High,BiTargeting|Cupid|ElMMo3|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
NFIL3,Q16649,,hsa-miR-128-3p,0.648114928233519,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank
CEBPD,P49716,,hsa-miR-200b-3p,0.646240282739001,12,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|RNAhybrid|TargetScan
ME1,P48163,,hsa-miR-562,0.643817374444805,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetSpy
GOLM1,Q8NBJ4,,hsa-miR-132-3p,0.642870301626743,16,Very High,BiTargeting|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
GOLM1,Q8NBJ4,,hsa-miR-342-3p,0.642026473224646,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
GOLM1,Q8NBJ4,,hsa-miR-141-3p,0.640441136628754,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
NFIL3,Q16649,,hsa-miR-501-5p,0.635855665601333,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|mirbase|miRDB|MirMAP|PACCMIT|RepTar|RNAhybrid|TargetSpy
RCAN1,P53805,,hsa-miR-449b-5p,0.63540252292485,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-148b-3p,0.634440068974055,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
FOS,P01100,,hsa-miR-543,0.634075850729243,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetSpy
FOS,P01100,,hsa-miR-181d-5p,0.634056393683833,12,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RNAhybrid|TargetScan
RCAN1,P53805,,hsa-miR-324-5p,0.633843775329506,16,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
NFIL3,Q16649,,hsa-miR-145-5p,0.630716275793192,11,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|MirMAP|PicTar|RNAhybrid
CRISPLD2,Q9H0B8,,hsa-miR-634,0.629192399385721,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MirAncesTar|mirbase|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank
GOLM1,Q8NBJ4,,hsa-miR-200a-3p,0.625797866741774,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
