
Generated at: 2021/04/04 17:38:27
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - GADD45G
FADS2
P4HA1
SOCS2
FOSB
TRHDE
ME1
RTP3
PHLDA1
IL1RN
IP6K3
CEBPD
SDC4
PEG10
TMEM154
IGFBP2
Micro RNA       - 
Minimum Score   - Very High


Gene Symbols input verification: (1)
Provided Gene Symbol,Suggestion,Updated Symbol at Database,Correct HUGO notation,HUGO Symbol ID,Approved Gene Symbol (HUGO),Previous Gene Symbol (HUGO),Gene Symbol Synonyms (HUGO)
PHLDA1,Q8WV24,,hsa-miR-181a-5p,0.828776423238226,16,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|GenMir++|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
TRHDE,Q9UKU6,,hsa-miR-200a-3p,0.818536353165215,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-98-5p,0.813839585762287,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-153-3p,0.813254230799204,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|miRTar2GO|Mirza-G|PicTar|RNAhybrid|TargetScan
P4HA1,P13674,,hsa-miR-506-3p,0.813073757911547,17,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-153-3p,0.807359593223324,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30e-5p,0.799255985532705,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|PicTar|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-202-3p,0.797773221812431,17,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank
SOCS2,O14508,,hsa-miR-101-3p,0.796033514059807,17,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-141-3p,0.795858803466581,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-365a-3p,0.784825664304765,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
PHLDA1,Q8WV24,,hsa-miR-181b-5p,0.784122733978338,14,Very High,BCmicrO|CoMeTa|ElMMo3|GenMir++|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
TRHDE,Q9UKU6,,hsa-let-7c-5p,0.783435083909646,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30b-5p,0.78327023502658,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7b-5p,0.783196979266002,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7f-5p,0.782541774856187,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7i-5p,0.781803965075108,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7g-5p,0.781361739536396,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-206,0.776454886707468,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-139-5p,0.766398771962875,19,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-let-7a-5p,0.765647614800787,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-144-3p,0.764953915589812,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-373-3p,0.761794528979337,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-let-7e-5p,0.760214576728436,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30d-5p,0.759687040600003,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
PEG10,Q86TG7,,hsa-miR-182-5p,0.752103107518809,20,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PITA|RepTar|RNAhybrid|TargetRank|TargetScan
PEG10,Q86TG7,,hsa-miR-27a-3p,0.751106532025491,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30a-5p,0.749976818984853,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-23b-3p,0.746285848859456,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-27a-3p,0.746074975679237,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30b-5p,0.741770668594415,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
FOSB,P53539,,hsa-miR-342-3p,0.736599878320241,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-613,0.736197841548338,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-30c-5p,0.735228554343302,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
PHLDA1,Q8WV24,,hsa-miR-101-3p,0.732844457007307,16,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar
P4HA1,P13674,,hsa-miR-30d-5p,0.732794313639439,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
P4HA1,P13674,,hsa-miR-30a-5p,0.732232150615784,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan|TargetSpy
ME1,P48163,,hsa-miR-30e-5p,0.72876268619092,14,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-25-3p,0.724621712806141,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-372-3p,0.723156585805914,15,Very High,BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-30c-5p,0.71357731865375,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|Mirza-G|RepTar|RNAhybrid|TargetScan
PHLDA1,Q8WV24,,hsa-miR-144-3p,0.713066952291671,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRcode|mirCoX|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetScan
TMEM154,Q6P9G4,,hsa-miR-424-5p,0.710877336829868,16,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-363-3p,0.710802086918442,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-23a-3p,0.710618195005479,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-133b,0.710051323504008,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-32-5p,0.709772586720058,16,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-1-3p,0.705715534154627,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-520e,0.703246437583966,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-520c-3p,0.700369403518146,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
PEG10,Q86TG7,,hsa-miR-449a,0.700324340854222,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-520d-3p,0.698065060783953,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
P4HA1,P13674,,hsa-miR-495-3p,0.696285586551238,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-200b-3p,0.693237914372422,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-92a-3p,0.692153253145878,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-302d-3p,0.690657209230304,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-200c-3p,0.690484882057361,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-429,0.686627487373497,18,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan|TargetSpy
PEG10,Q86TG7,,hsa-miR-27b-3p,0.685658239423827,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-520b,0.684930619694292,16,Very High,BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
SDC4,P31431,,hsa-miR-224-5p,0.683285085729843,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
SDC4,P31431,,hsa-miR-194-5p,0.681352861556571,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|RepTar|RNAhybrid|TargetScan
PEG10,Q86TG7,,hsa-miR-98-5p,0.679170588851867,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRcode|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
PEG10,Q86TG7,,hsa-miR-767-5p,0.678006798389345,17,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PITA|RepTar|TargetRank|TargetSpy
FOSB,P53539,,hsa-miR-152-3p,0.676685064422456,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
TMEM154,Q6P9G4,,hsa-miR-494-3p,0.674929694358476,14,Very High,BCmicrO|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-27b-3p,0.674302307728611,14,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-148a-3p,0.674107498928932,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-520a-3p,0.672318127047486,14,Very High,CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-92b-3p,0.67190613169616,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-194-5p,0.668263127583433,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|PACCMIT|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-let-7d-5p,0.666805551388858,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
PEG10,Q86TG7,,hsa-miR-34a-5p,0.666005172294867,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetScan
PEG10,Q86TG7,,hsa-miR-34c-5p,0.664750525730321,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-590-3p,0.664471373468869,15,Very High,CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|TargetRank|TargetSpy
PEG10,Q86TG7,,hsa-miR-532-3p,0.664209993507726,16,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-888-5p,0.66366121291435,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank
PEG10,Q86TG7,,hsa-let-7g-5p,0.662186747275506,15,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
TMEM154,Q6P9G4,,hsa-miR-16-5p,0.661670579271867,15,Very High,BCmicrO|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-302b-3p,0.659713082075668,15,Very High,BCmicrO|BiTargeting|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-186-5p,0.655342179973617,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-302a-3p,0.655260932850998,14,Very High,BCmicrO|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-7-5p,0.654408419067183,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
PEG10,Q86TG7,,hsa-let-7e-5p,0.653142818976544,15,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
PHLDA1,Q8WV24,,hsa-miR-181d-5p,0.653078327113806,13,Very High,BCmicrO|CoMeTa|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
