
Generated at: 2021/03/28 20:07:20
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - GADD45G
FADS2
P4HA1
SOCS2
FOSB
IGFBP2
TRHDE
ME1
Micro RNA       - 
Minimum Score   - Very High


Results (274) 
Gene Symbol,Uniprot,Pseudogene,MicroRNA,Integrated Score,Number of Sources,Score Class,Sources
TRHDE,Q9UKU6,,hsa-miR-520b,0.684930619694292,16,Very High,BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-152-3p,0.676685064422456,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
FOSB,P53539,,hsa-miR-27b-3p,0.674302307728611,14,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-148a-3p,0.674107498928932,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-520a-3p,0.672318127047486,14,Very High,CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-92b-3p,0.67190613169616,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-194-5p,0.668263127583433,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|PACCMIT|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-let-7d-5p,0.666805551388858,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-590-3p,0.664471373468869,15,Very High,CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|MultiMiTar|PACCMIT|TargetRank|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-888-5p,0.66366121291435,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank
TRHDE,Q9UKU6,,hsa-miR-302b-3p,0.659713082075668,15,Very High,BCmicrO|BiTargeting|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-186-5p,0.655342179973617,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-302a-3p,0.655260932850998,14,Very High,BCmicrO|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
SOCS2,O14508,,hsa-miR-7-5p,0.654408419067183,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-367-3p,0.645704437665124,15,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-512-3p,0.644563309128905,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetSpy
ME1,P48163,,hsa-miR-562,0.643817374444805,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank|TargetSpy
P4HA1,P13674,,hsa-miR-144-3p,0.643349947462306,18,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-133a-3p,0.641467993629415,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|TargetRank
TRHDE,Q9UKU6,,hsa-miR-302e,0.635248893800684,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RepTar|TargetScan|TargetSpy
FOSB,P53539,,hsa-miR-148b-3p,0.634440068974055,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-577,0.631551811286486,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|TargetRank|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-206,0.624308380905008,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|TargetScan
SOCS2,O14508,,hsa-miR-655-3p,0.62370332251806,13,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|RNAhybrid|TargetRank|TargetScan
ME1,P48163,,hsa-miR-548d-5p,0.619934008522626,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetSpy
FOSB,P53539,,hsa-miR-374b-5p,0.618826502778107,15,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RNAhybrid|TargetScan
ME1,P48163,,hsa-miR-548a-5p,0.616579175486056,15,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank
TRHDE,Q9UKU6,,hsa-miR-1-3p,0.616137827032421,16,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan
TRHDE,Q9UKU6,,hsa-miR-532-3p,0.609279420577583,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RepTar|TargetRank|TargetScan
TRHDE,Q9UKU6,,hsa-miR-613,0.605794465378459,17,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan|TargetSpy
ME1,P48163,,hsa-miR-448,0.603943281981688,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|MirMAP|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetScan
GADD45G,O95257,,hsa-miR-497-5p,0.602941776879641,14,Very High,BCmicrO|BiTargeting|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-548b-5p,0.600669172767114,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetSpy
ME1,P48163,,hsa-miR-142-3p,0.600409623893788,17,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|RepTar|RNAhybrid|TargetSpy
SOCS2,O14508,,hsa-miR-22-3p,0.59973610335061,13,Very High,BCmicrO|BiTargeting|CoMeTa|MBStar|MAMI|MirAncesTar|miRcode|mirCoX|MirMAP|MultiMiTar|RepTar|RNAhybrid|TargetScan
TRHDE,Q9UKU6,,hsa-miR-4782-3p,0.598721191029303,10,Very High,DIANA|MBStar|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|TargetScan
TRHDE,Q9UKU6,,hsa-miR-580-3p,0.598643775966398,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank
TRHDE,Q9UKU6,,hsa-miR-486-5p,0.598573594305686,13,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|TargetRank|TargetScan|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-153-3p,0.593454414539376,12,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MirAncesTar|miRcode|MirMAP|Mirza-G|MultiMiTar|TargetRank|TargetScan
FOSB,P53539,,hsa-miR-374a-5p,0.590795078697664,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|PACCMIT|RNAhybrid|TargetScan
ME1,P48163,,hsa-miR-559,0.58950582122886,14,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RepTar|RNAhybrid|TargetRank|TargetSpy
GADD45G,O95257,,hsa-miR-424-5p,0.589419195630008,13,Very High,BCmicrO|BiTargeting|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|RepTar|TargetRank|TargetScan
ME1,P48163,,hsa-miR-548c-5p,0.586046426677789,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetSpy
ME1,P48163,,hsa-miR-515-5p,0.585011982037866,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|RNAhybrid|TargetRank|TargetSpy
TRHDE,Q9UKU6,,hsa-miR-302c-3p,0.583584196606987,13,Very High,BCmicrO|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank
P4HA1,P13674,,hsa-miR-494-3p,0.581229057356787,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|RNAhybrid|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-548c-3p,0.579567772044346,13,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|RNAhybrid|TargetRank
