
Generated at: 2021/03/22 11:54:51
mirDIP version: 4.1.11.2.
Database version: 4.1.0.3



Gene Symbol     - PHLDA1
KLF4
IER3
ZFP36
IGFBP2
SYT7
IRS2
MYC
DUSP10
NR4A1
GPAM
IL1RN
P4HA1
MAMDC4
CYR61
MAFF
SIK1
ATF3
EGR1
LRRC31
KLF6
SDC4
UBD
FMO1
JUNB
JUN
Micro RNA       - 
Minimum Score   - Very High


Gene Symbols input verification: (2)
Provided Gene Symbol,Suggestion,Updated Symbol at Database,Correct HUGO notation,HUGO Symbol ID,Approved Gene Symbol (HUGO),Previous Gene Symbol (HUGO),Gene Symbol Synonyms (HUGO)
KLF4,O43474,,hsa-miR-152-3p,0.900098451135329,23,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-135a-5p,0.899924550642783,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
GPAM,Q9HCL2,,hsa-miR-128-3p,0.898896757234512,19,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-miR-98-5p,0.898376228558552,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
IRS2,Q9Y4H2,,hsa-let-7c-5p,0.896907093772624,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
IRS2,Q9Y4H2,,hsa-let-7f-5p,0.895598610338526,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
IRS2,Q9Y4H2,,hsa-let-7i-5p,0.893990668162012,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
IRS2,Q9Y4H2,,hsa-miR-32-5p,0.892213080022388,16,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-let-7g-5p,0.891908196883523,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
SIK1,P57059,,hsa-miR-93-5p,0.888313338043594,17,Very High,CoMeTa|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-miR-141-3p,0.887375578448437,18,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-17-5p,0.885488642761527,18,Very High,BCmicrO|CoMeTa|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-let-7a-5p,0.884987794253141,18,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
IRS2,Q9Y4H2,,hsa-miR-153-3p,0.884464833716072,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|miRcode|MirMAP|Mirza-G|MultiMiTar|PicTar|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-124-3p,0.883724888077136,17,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RNAhybrid|TargetRank
GPAM,Q9HCL2,,hsa-miR-27a-3p,0.88344139505851,20,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-let-7b-5p,0.883432050433757,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
KLF6,Q99612,,hsa-miR-181c-5p,0.883357876858825,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-34c-5p,0.882475857374361,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
KLF4,O43474,,hsa-miR-128-3p,0.882327941369857,19,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
SIK1,P57059,,hsa-miR-152-3p,0.881848974306721,20,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-9-5p,0.881816577516623,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|TargetScan
SIK1,P57059,,hsa-miR-195-5p,0.880335845051606,17,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|TargetScan
KLF4,O43474,,hsa-miR-148b-3p,0.878993143399837,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|mirCoX|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-367-3p,0.878972981074923,19,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|RNAhybrid|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-16-5p,0.877007365922396,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|TargetScan
KLF4,O43474,,hsa-miR-148a-3p,0.876344244116003,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|mirCoX|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
IRS2,Q9Y4H2,,hsa-miR-92a-3p,0.873819304545753,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-miR-181a-5p,0.872398632787296,18,Very High,BCmicrO|BiTargeting|CoMeTa|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
P4HA1,P13674,,hsa-miR-122-5p,0.87112254824913,19,Very High,CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetRank|TargetScan
GPAM,Q9HCL2,,hsa-miR-27b-3p,0.866183441838127,19,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
KLF4,O43474,,hsa-miR-206,0.865173634986483,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetScan
IRS2,Q9Y4H2,,hsa-miR-181c-5p,0.865024310274116,19,Very High,BCmicrO|BiTargeting|CoMeTa|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
EGR1,P18146,,hsa-miR-183-5p,0.863953623484265,18,Very High,CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|RNAhybrid
SIK1,P57059,,hsa-miR-15b-5p,0.860012755295515,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|TargetScan
KLF6,Q99612,,hsa-miR-181b-5p,0.860003189749828,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetScan
CYR61,O00622,,hsa-miR-221-3p,0.858183865434198,20,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PicTar|RepTar|RNA22|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-92b-3p,0.8561665602345,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirSNP|MirTar|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-32-5p,0.855579337004737,16,Very High,CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
KLF6,Q99612,,hsa-miR-152-3p,0.855566351432485,17,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-363-3p,0.855471196548054,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RNAhybrid|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-let-7d-5p,0.854925850941938,19,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetScan
SIK1,P57059,,hsa-miR-92a-3p,0.8528421496563,15,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetRank|TargetScan
GPAM,Q9HCL2,,hsa-miR-218-5p,0.852571031529903,18,Very High,BCmicrO|Cupid|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
DUSP10,Q9Y6W6,,hsa-miR-363-3p,0.850684874208822,21,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
KLF4,O43474,,hsa-miR-29c-3p,0.850524969732646,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|RNAhybrid|TargetScan
KLF6,Q99612,,hsa-miR-181a-5p,0.847879478537613,16,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|RepTar|RNAhybrid|TargetScan
SIK1,P57059,,hsa-miR-15a-5p,0.847347576253445,14,Very High,CoMeTa|DIANA|ElMMo3|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|TargetScan
SIK1,P57059,,hsa-miR-142-3p,0.845140504180787,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetRank|TargetSpy
SIK1,P57059,,hsa-miR-106a-5p,0.845030051563388,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
JUN,P05412,,hsa-miR-200b-3p,0.844252228602068,16,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RNAhybrid|TargetScan
KLF4,O43474,,hsa-miR-1-3p,0.843005928189375,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RepTar|RNAhybrid|TargetScan
IRS2,Q9Y4H2,,hsa-miR-135a-5p,0.840957871033442,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|MirMAP|miRTar2GO|PicTar|TargetScan
IRS2,Q9Y4H2,,hsa-miR-181b-5p,0.840919358024145,16,Very High,BCmicrO|CoMeTa|ElMMo3|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|PicTar|RepTar|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-148a-3p,0.840884008165237,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-25-3p,0.840212743024283,18,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|PITA|RepTar|TargetRank|TargetScan
SIK1,P57059,,hsa-miR-148b-3p,0.83970293643007,19,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
DUSP10,Q9Y6W6,,hsa-miR-92b-3p,0.838312510856343,18,Very High,BCmicrO|CoMeTa|DIANA|ElMMo3|MBStar|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-miR-448,0.835979922520699,16,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|microrna.org|MirAncesTar|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|TargetRank|TargetScan|TargetSpy
PHLDA1,Q8WV24,,hsa-miR-181c-5p,0.835969485430396,18,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|GenMir++|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
EGR1,P18146,,hsa-miR-124-3p,0.835433421843474,15,Very High,CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|PicTar|RNAhybrid
KLF4,O43474,,hsa-miR-34a-5p,0.834028734851359,17,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|MultiMiTar|PACCMIT|RepTar|RNAhybrid|TargetRank|TargetScan
IRS2,Q9Y4H2,,hsa-miR-203a-3p,0.8336637555417,18,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|PicTar|RepTar|TargetRank
PHLDA1,Q8WV24,,hsa-miR-181a-5p,0.828776423238226,16,Very High,BCmicrO|CoMeTa|Cupid|ElMMo3|GenMir++|MBStar|MAMI|MirAncesTar|miRDB|MirMAP|MirSNP|miRTar2GO|Mirza-G|PACCMIT|RepTar|TargetScan
SIK1,P57059,,hsa-miR-363-3p,0.826356096745546,19,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetRank|TargetScan
DUSP10,Q9Y6W6,,hsa-miR-367-3p,0.824389086023433,20,Very High,BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRcode|miRDB|MirMAP|MirTar|Mirza-G|MultiMiTar|PACCMIT|RepTar|RNA22|RNAhybrid|TargetRank|TargetScan
KLF6,Q99612,,hsa-miR-148b-3p,0.824333591826121,16,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|RNAhybrid|TargetScan
KLF6,Q99612,,hsa-miR-181d-5p,0.824135437378739,18,Very High,BCmicrO|BiTargeting|CoMeTa|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRDB|MirMAP|MirSNP|MirTar|miRTar2GO|Mirza-G|RNAhybrid|TargetScan
NR4A1,P22736,,hsa-miR-124-3p,0.82328735128425,18,Very High,BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|GenMir++|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|miRDB|MirMAP|miRTar2GO|MultiMiTar|PACCMIT|RepTar|RNAhybrid
DUSP10,Q9Y6W6,,hsa-miR-223-3p,0.819047830299677,22,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirbase|miRcode|mirCoX|miRDB|MirMAP|MirTar|miRTar2GO|Mirza-G|PACCMIT|RepTar|RNAhybrid|TargetRank
KLF4,O43474,,hsa-miR-26a-5p,0.816912508961744,14,Very High,BCmicrO|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|MirMAP|miRTar2GO|Mirza-G|MultiMiTar|PicTar|RNAhybrid|TargetScan
IRS2,Q9Y4H2,,hsa-let-7e-5p,0.816838042624768,17,Very High,BCmicrO|BiTargeting|CoMeTa|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|miRDB|MirMAP|Mirza-G|MultiMiTar|PACCMIT|RepTar|TargetScan
KLF6,Q99612,,hsa-miR-148a-3p,0.816682088935051,16,Very High,BCmicrO|BiTargeting|Cupid|DIANA|ElMMo3|MBStar|MAMI|microrna.org|MirAncesTar|mirCoX|miRDB|MirMAP|miRTar2GO|Mirza-G|RNAhybrid|TargetScan
