From	To	Species	Gene Name
8660	IRS2	Homo sapiens	insulin receptor substrate 2(IRS2)
5033	P4HA1	Homo sapiens	prolyl 4-hydroxylase subunit alpha 1(P4HA1)
7050	TGIF1	Homo sapiens	TGFB induced factor homeobox 1(TGIF1)
3491	CYR61	Homo sapiens	cysteine rich angiogenic inducer 61(CYR61)
9592	IER2	Homo sapiens	immediate early response 2(IER2)
29034	CPS1-IT1	Homo sapiens	CPS1 intronic transcript 1(CPS1-IT1)
54886	PLPPR1	Homo sapiens	phospholipid phosphatase related 1(PLPPR1)
1069	cetn2	Homo sapiens	centrin 2(CETN2)
28984	RGCC	Homo sapiens	regulator of cell cycle(RGCC)
11234	hps5	Homo sapiens	HPS5, biogenesis of lysosomal organelles complex 2 subunit 2(HPS5)
54407	SLC38A2	Homo sapiens	solute carrier family 38 member 2(SLC38A2)
7465	WEE1	Homo sapiens	WEE1 G2 checkpoint kinase(WEE1)
4199	ME1	Homo sapiens	malic enzyme 1(ME1)
7069	THRSP	Homo sapiens	thyroid hormone responsive(THRSP)
2330	FMO5	Homo sapiens	flavin containing monooxygenase 5(FMO5)
122622	ADSSL1	Homo sapiens	adenylosuccinate synthase like 1(ADSSL1)
2326	FMO1	Homo sapiens	flavin containing monooxygenase 1(FMO1)
10912	GADD45G	Homo sapiens	growth arrest and DNA damage inducible gamma(GADD45G)
3017	HIST1H2BD	Homo sapiens	histone cluster 1 H2B family member d(HIST1H2BD)
80303	EFHD1	Homo sapiens	EF-hand domain family member D1(EFHD1)
1476	CSTB	Homo sapiens	cystatin B(CSTB)
55902	ACSS2	Homo sapiens	acyl-CoA synthetase short-chain family member 2(ACSS2)
9518	GDF15	Homo sapiens	growth differentiation factor 15(GDF15)
91947	ARRDC4	Homo sapiens	arrestin domain containing 4(ARRDC4)
55908	Angptl8	Homo sapiens	angiopoietin like 8(ANGPTL8)
6385	SDC4	Homo sapiens	syndecan 4(SDC4)
26269	FBXO8	Homo sapiens	F-box protein 8(FBXO8)
3034	hal	Homo sapiens	histidine ammonia-lyase(HAL)
3394	IRF8	Homo sapiens	interferon regulatory factor 8(IRF8)
1490	CTGF	Homo sapiens	connective tissue growth factor(CTGF)
79782	LRRC31	Homo sapiens	leucine rich repeat containing 31(LRRC31)
152926	PPM1K	Homo sapiens	protein phosphatase, Mg2+/Mn2+ dependent 1K(PPM1K)
3949	LDLR	Homo sapiens	low density lipoprotein receptor(LDLR)
388	RHOB	Homo sapiens	ras homolog family member B(RHOB)
29098	RANGRF	Homo sapiens	RAN guanine nucleotide release factor(RANGRF)
3304	hspa1b	Homo sapiens	heat shock protein family A (Hsp70) member 1B(HSPA1B)
1522	CTSZ	Homo sapiens	cathepsin Z(CTSZ)
3303	HSPA1A	Homo sapiens	heat shock protein family A (Hsp70) member 1A(HSPA1A)
3422	IDI1	Homo sapiens	isopentenyl-diphosphate delta isomerase 1(IDI1)
171546	SPTSSA	Homo sapiens	serine palmitoyltransferase small subunit A(SPTSSA)
8835	SOCS2	Homo sapiens	suppressor of cytokine signaling 2(SOCS2)
10365	KLF2	Homo sapiens	Kruppel like factor 2(KLF2)
5966	REL	Homo sapiens	REL proto-oncogene, NF-kB subunit(REL)
29095	ORMDL2	Homo sapiens	ORMDL sphingolipid biosynthesis regulator 2(ORMDL2)
9540	TP53I3	Homo sapiens	tumor protein p53 inducible protein 3(TP53I3)
5187	PER1	Homo sapiens	period circadian clock 1(PER1)
7763	ZFAND5	Homo sapiens	zinc finger AN1-type containing 5(ZFAND5)
2353	FOS	Homo sapiens	Fos proto-oncogene, AP-1 transcription factor subunit(FOS)
390	RND3	Homo sapiens	Rho family GTPase 3(RND3)
3164	NR4A1	Homo sapiens	nuclear receptor subfamily 4 group A member 1(NR4A1)
80833	apol3	Homo sapiens	apolipoprotein L3(APOL3)
114789	SLC25A25	Homo sapiens	solute carrier family 25 member 25(SLC25A25)
2195	FAT1	Homo sapiens	FAT atypical cadherin 1(FAT1)
23764	MAFF	Homo sapiens	MAF bZIP transcription factor F(MAFF)
51280	GOLM1	Homo sapiens	golgi membrane protein 1(GOLM1)
154	ADRB2	Homo sapiens	adrenoceptor beta 2(ADRB2)
83953	FCAMR	Homo sapiens	Fc fragment of IgA and IgM receptor(FCAMR)
26471	NUPR1	Homo sapiens	nuclear protein 1, transcriptional regulator(NUPR1)
3557	IL1RN	Homo sapiens	interleukin 1 receptor antagonist(IL1RN)
4929	NR4A2	Homo sapiens	nuclear receptor subfamily 4 group A member 2(NR4A2)
53345	TM6SF2	Homo sapiens	transmembrane 6 superfamily member 2(TM6SF2)
677	ZFP36L1	Homo sapiens	ZFP36 ring finger protein like 1(ZFP36L1)
678	ZFP36L2	Homo sapiens	ZFP36 ring finger protein like 2(ZFP36L2)
2222	FDFT1	Homo sapiens	farnesyl-diphosphate farnesyltransferase 1(FDFT1)
90634	N4BP2L1	Homo sapiens	NEDD4 binding protein 2 like 1(N4BP2L1)
4645	MYO5B	Homo sapiens	myosin VB(MYO5B)
55129	ANO10	Homo sapiens	anoctamin 10(ANO10)
2627	GATA6	Homo sapiens	GATA binding protein 6(GATA6)
8343	Hist1h2bf	Homo sapiens	histone cluster 1 H2B family member f(HIST1H2BF)
135932	TMEM139	Homo sapiens	transmembrane protein 139(TMEM139)
150094	SIK1	Homo sapiens	salt inducible kinase 1(SIK1)
5473	PPBP	Homo sapiens	pro-platelet basic protein(PPBP)
64762	GAREM1	Homo sapiens	GRB2 associated regulator of MAPK1 subtype 1(GAREM1)
6566	SLC16A1	Homo sapiens	solute carrier family 16 member 1(SLC16A1)
4783	NFIL3	Homo sapiens	nuclear factor, interleukin 3 regulated(NFIL3)
9314	KLF4	Homo sapiens	Kruppel like factor 4(KLF4)
23133	PHF8	Homo sapiens	PHD finger protein 8(PHF8)
23411	SIRT1	Homo sapiens	sirtuin 1(SIRT1)
55096	EBLN2	Homo sapiens	endogenous Bornavirus-like nucleoprotein 2(EBLN2)
3726	JUNB	Homo sapiens	JunB proto-oncogene, AP-1 transcription factor subunit(JUNB)
57678	GPAM	Homo sapiens	glycerol-3-phosphate acyltransferase, mitochondrial(GPAM)
79841	AGBL2	Homo sapiens	ATP/GTP binding protein like 2(AGBL2)
1543	CYP1A1	Homo sapiens	cytochrome P450 family 1 subfamily A member 1(CYP1A1)
387763	c11orf96	Homo sapiens	chromosome 11 open reading frame 96(C11orf96)
2354	FOSB	Homo sapiens	FosB proto-oncogene, AP-1 transcription factor subunit(FOSB)
6713	SQLE	Homo sapiens	squalene epoxidase(SQLE)
1827	RCAN1	Homo sapiens	regulator of calcineurin 1(RCAN1)
10221	TRIB1	Homo sapiens	tribbles pseudokinase 1(TRIB1)
1428	CRYM	Homo sapiens	crystallin mu(CRYM)
10468	FST	Homo sapiens	follistatin(FST)
3725	JUN	Homo sapiens	Jun proto-oncogene, AP-1 transcription factor subunit(JUN)
8870	IER3	Homo sapiens	immediate early response 3(IER3)
25805	BAMBI	Homo sapiens	BMP and activin membrane bound inhibitor(BAMBI)
22936	ELL2	Homo sapiens	elongation factor for RNA polymerase II 2(ELL2)
5244	ABCB4	Homo sapiens	ATP binding cassette subfamily B member 4(ABCB4)
64651	CSRNP1	Homo sapiens	cysteine and serine rich nuclear protein 1(CSRNP1)
79070	KDELC1	Homo sapiens	KDEL motif containing 1(KDELC1)
9963	SLC23A1	Homo sapiens	solute carrier family 23 member 1(SLC23A1)
65986	ZBTB10	Homo sapiens	zinc finger and BTB domain containing 10(ZBTB10)
79071	ELOVL6	Homo sapiens	ELOVL fatty acid elongase 6(ELOVL6)
65109	UPF3B	Homo sapiens	UPF3 regulator of nonsense transcripts homolog B (yeast)(UPF3B)
83729	INHBE	Homo sapiens	inhibin beta E subunit(INHBE)
90141	EFCAB11	Homo sapiens	EF-hand calcium binding domain 11(EFCAB11)
1316	KLF6	Homo sapiens	Kruppel like factor 6(KLF6)
55266	TMEM19	Homo sapiens	transmembrane protein 19(TMEM19)
85236	Hist1h2bk	Homo sapiens	histone cluster 1 H2B family member k(HIST1H2BK)
7538	ZFP36	Homo sapiens	ZFP36 ring finger protein(ZFP36)
91107	TRIM47	Homo sapiens	tripartite motif containing 47(TRIM47)
4942	OAT	Homo sapiens	ornithine aminotransferase(OAT)
1959	EGR2	Homo sapiens	early growth response 2(EGR2)
1717	DHCR7	Homo sapiens	7-dehydrocholesterol reductase(DHCR7)
1958	EGR1	Homo sapiens	early growth response 1(EGR1)
10157	AASS	Homo sapiens	aminoadipate-semialdehyde synthase(AASS)
51109	RDH11	Homo sapiens	retinol dehydrogenase 11 (all-trans/9-cis/11-cis)(RDH11)
22822	PHLDA1	Homo sapiens	pleckstrin homology like domain family A member 1(PHLDA1)
50814	NSDHL	Homo sapiens	NAD(P) dependent steroid dehydrogenase-like(NSDHL)
8644	AKR1C3	Homo sapiens	aldo-keto reductase family 1 member C3(AKR1C3)
9611	NCOR1	Homo sapiens	nuclear receptor corepressor 1(NCOR1)
1052	CEBPD	Homo sapiens	CCAAT/enhancer binding protein delta(CEBPD)
83716	CRISPLD2	Homo sapiens	cysteine rich secretory protein LCCL domain containing 2(CRISPLD2)
3625	INHBB	Homo sapiens	inhibin beta B subunit(INHBB)
1843	DUSP1	Homo sapiens	dual specificity phosphatase 1(DUSP1)
54463	fam134b	Homo sapiens	family with sequence similarity 134 member B(FAM134B)
467	ATF3	Homo sapiens	activating transcription factor 3(ATF3)
10560	SLC19A2	Homo sapiens	solute carrier family 19 member 2(SLC19A2)
91614	DEPDC7	Homo sapiens	DEP domain containing 7(DEPDC7)
1848	DUSP6	Homo sapiens	dual specificity phosphatase 6(DUSP6)
51635	DHRS7	Homo sapiens	dehydrogenase/reductase 7(DHRS7)
2538	G6PC	Homo sapiens	glucose-6-phosphatase catalytic subunit(G6PC)
