"X1XXXXXX11X11XX111X1X111XXXX1X11111X10000000000000000X000X00000"
ID	adj.P.Val	P.Value	t	B	logFC	Symbol
ILMN_1673566	7.43e-15	5.64e-18	14.177085	30.6202995	2.43198143	ADAMTS1
ILMN_1796210	7.43e-15	5.82e-18	14.164895	30.5904314	1.48641008	PPRC1
ILMN_1699354	7.80e-15	6.37e-18	14.129082	30.5025755	1.88149692	EPHA2
ILMN_2374865	1.43e-14	1.22e-17	13.87718	29.8799919	1.59347504	ATF3
ILMN_1741159	2.35e-14	2.08e-17	13.671751	29.3662301	1.5741842	MAP3K8
ILMN_1798926	2.62e-14	2.41e-17	13.614846	29.2229464	1.97683242	SOCS2
ILMN_2053415	2.84e-14	2.70e-17	13.570796	29.1117422	0.95732651	LDLR
ILMN_1721626	1.26e-13	1.25e-16	12.994937	27.6345282	1.21025964	ARID5B
ILMN_1707312	2.00e-13	2.04e-16	12.813604	27.1602518	1.07360021	NFIL3
ILMN_1751656	2.25e-13	2.38e-16	12.756784	27.0107298	1.2800149	KLF11
ILMN_1720048	2.41e-13	2.62e-16	12.720717	26.9155959	1.68953752	CCL2
ILMN_2121408	2.46e-13	2.76e-16	12.702241	26.8667946	1.82959537	HBEGF
ILMN_1684401	2.69e-13	3.11e-16	-12.657996	26.7497389	-2.34103862	FMO1
ILMN_1762803	3.10e-13	3.69e-16	-12.595645	26.5843331	-1.02580283	RFXDC2
ILMN_1735014	4.16e-13	5.09e-16	12.478662	26.2725821	1.76283062	KLF6
ILMN_2391150	4.91e-13	6.19e-16	12.408166	26.0838194	1.53877693	FILIP1L
ILMN_1738578	5.76e-13	7.58e-16	12.33501	25.8872193	1.76266832	FILIP1L
ILMN_2358919	5.76e-13	7.65e-16	-12.331525	25.8778368	-1.70891836	TP53I3
ILMN_1806040	6.05e-13	8.23e-16	-12.305191	25.8068751	-1.5616448	TYMS
ILMN_1679268	6.05e-13	8.44e-16	12.29632	25.7829504	1.11896127	PELI1
ILMN_1800317	6.93e-13	1.00e-15	-12.235233	25.6179047	-1.57627526	WNT5A
ILMN_1789955	6.93e-13	1.01e-15	12.230058	25.6039002	2.10224029	PNRC1
ILMN_1719695	9.51e-13	1.42e-15	12.108683	25.2743744	0.94084192	NFKBIZ
ILMN_1710514	9.92e-13	1.52e-15	12.08559	25.2114477	1.38938474	BCL3
ILMN_1809590	1.29e-12	2.02e-15	-11.984814	24.9359973	-1.95250938	GINS2
ILMN_1805192	1.38e-12	2.21e-15	11.953346	24.849701	1.03480013	ITPRIP
ILMN_1736048	1.47e-12	2.41e-15	11.922571	24.7651732	1.05936611	ELL
ILMN_1656011	1.53e-12	2.59e-15	11.896061	24.6922562	1.34827563	RGS1
ILMN_1803811	1.53e-12	2.60e-15	11.894691	24.6884858	0.62786322	TRIB1
ILMN_2071641	3.06e-12	5.32e-15	11.643794	23.9935538	1.71589929	KCNK1
ILMN_1741881	3.06e-12	5.42e-15	11.636951	23.9744785	0.71808031	C9orf72
ILMN_1734744	4.75e-12	8.58e-15	11.477607	23.5284854	1.36052613	CDH19
ILMN_1802205	5.49e-12	1.02e-14	11.418134	23.361128	0.70414807	RHOB
ILMN_3239861	5.49e-12	1.03e-14	-11.415213	23.3528974	-2.33838694	C10orf140
ILMN_1723522	6.15e-12	1.19e-14	11.363731	23.2076119	2.6366278	APOLD1
ILMN_1794017	6.15e-12	1.19e-14	11.363539	23.2070693	1.1743811	SERTAD1
ILMN_2197365	7.22e-12	1.43e-14	11.302053	23.0330749	1.73135828	RGS2
ILMN_1686116	7.60e-12	1.53e-14	11.278778	22.9670752	1.80710439	THBS1
ILMN_1717639	8.05e-12	1.64e-14	11.253206	22.8944729	2.40271134	SIK1
ILMN_1739054	1.06e-11	2.22e-14	-11.151044	22.6035339	-1.23383655	CCDC121
ILMN_1701111	1.06e-11	2.24e-14	11.147895	22.5945451	0.81838481	RP5-1022P6.2
ILMN_2409220	1.29e-11	2.76e-14	-11.07614	22.3893119	-1.13550517	HMMR
ILMN_1691881	1.39e-11	3.02e-14	11.045613	22.3017824	1.87021136	IL4R
ILMN_1730906	1.64e-11	3.64e-14	10.982442	22.1202501	1.50574187	FILIP1L
ILMN_1658494	1.92e-11	4.31e-14	10.924817	21.954177	1.59803287	C13orf15
ILMN_1813796	2.01e-11	4.58e-14	-10.90423	21.8947367	-1.49294446	TMEM169
ILMN_1685574	2.14e-11	4.96e-14	10.877588	21.8177283	0.83909449	TSC22D2
ILMN_1796074	2.55e-11	5.99e-14	-10.813882	21.6331889	-1.81954912	C18orf56
ILMN_2362545	2.91e-11	6.93e-14	-10.764492	21.4897377	-1.31777394	ZWINT
ILMN_1736969	3.20e-11	7.74e-14	10.727666	21.3825614	2.89707552	SLITRK3
ILMN_1708934	3.23e-11	7.91e-14	10.720333	21.3611977	0.91396127	ADM
ILMN_1682717	3.30e-11	8.21e-14	10.707775	21.3245947	1.83124727	IER3
ILMN_1665982	3.35e-11	8.44e-14	-10.698751	21.298279	-0.61827876	AKTIP
ILMN_1682636	4.12e-11	1.05e-13	10.624718	21.0819652	0.91218726	CXCL2
ILMN_1691264	4.46e-11	1.15e-13	-10.594405	20.9931799	-1.89626128	NAT8B
ILMN_1737314	4.48e-11	1.17e-13	10.588329	20.9753682	1.08678771	BCL6
ILMN_2308849	4.51e-11	1.20e-13	10.58204	20.9569286	0.73933802	MYADM
ILMN_1699856	5.25e-11	1.41e-13	10.526963	20.7951992	1.64772993	RALGDS
ILMN_1797596	5.53e-11	1.51e-13	10.504675	20.7296332	1.20216005	SPRY4
ILMN_1702487	5.53e-11	1.53e-13	10.501225	20.7194799	0.724117	SGK
ILMN_1672295	6.05e-11	1.69e-13	10.467547	20.6202669	2.34669891	ZC3H12A
ILMN_1767541	7.54e-11	2.13e-13	10.390706	20.3933253	0.99279185	ARAP2
ILMN_1690523	9.32e-11	2.66e-13	-10.316658	20.1738791	-1.06832107	LRRC20
ILMN_2338963	1.05e-10	3.07e-13	-10.270361	20.0363028	-0.78261426	SLC29A1
ILMN_1803398	1.05e-10	3.07e-13	10.269873	20.0348498	0.82656745	SRF
ILMN_1659943	1.07e-10	3.17e-13	10.259801	20.0048803	1.75593569	BACH2
ILMN_2410145	1.10e-10	3.30e-13	10.246405	19.9650007	2.53694067	NR4A1
ILMN_1738816	1.12e-10	3.39e-13	10.237301	19.9378825	1.12749933	FOXO1
ILMN_1747911	1.12e-10	3.46e-13	-10.231033	19.9192077	-1.06376144	CDC2
ILMN_1763638	1.12e-10	3.46e-13	-10.230401	19.9173232	-1.06891189	BCAR3
ILMN_1788961	1.13e-10	3.53e-13	10.224276	19.8990683	0.59068495	PPP2R2A
ILMN_1697691	1.40e-10	4.44e-13	-10.149287	19.675157	-1.21586636	FLJ42280
ILMN_1773002	1.48e-10	4.73e-13	-10.12857	19.6131663	-2.51934056	LOC730417
ILMN_1700606	1.50e-10	4.84e-13	-10.120576	19.5892306	-1.83223352	RNF43
ILMN_2054297	1.64e-10	5.37e-13	10.087085	19.4888605	2.17148582	PTGS2
ILMN_1753111	1.66e-10	5.47e-13	10.080913	19.4703457	1.24637589	NAMPT
ILMN_1720158	1.71e-10	5.70e-13	10.067718	19.4307489	1.08614844	ETS2
ILMN_1692133	1.86e-10	6.26e-13	-10.03714	19.3389009	-0.73119993	ZNF226
ILMN_1756862	1.97e-10	6.71e-13	-10.014451	19.2706672	-1.68991357	APOL3
ILMN_2184373	2.08e-10	7.14e-13	9.994279	19.2099495	2.89709747	IL8
ILMN_1693334	2.08e-10	7.27e-13	9.988282	19.1918859	1.28361965	P4HA1
ILMN_1651799	2.08e-10	7.28e-13	9.987803	19.1904448	0.37310959	SLC38A2
ILMN_1670019	2.20e-10	7.81e-13	-9.965162	19.1222092	-2.1483771	PEG10
ILMN_2244547	2.40e-10	8.60e-13	9.933827	19.027662	1.36735478	ETNK1
ILMN_2124187	2.40e-10	8.65e-13	9.931752	19.0213969	0.87954958	TSC22D2
ILMN_1764714	2.92e-10	1.07e-12	-9.864382	18.8176636	-1.67012659	LOC55908
ILMN_1673207	3.30e-10	1.21e-12	9.822362	18.6902934	1.73099557	KLF11
ILMN_1672148	3.49e-10	1.29e-12	-9.801405	18.6266825	-3.31457084	AKR1B10
ILMN_1815184	3.77e-10	1.41e-12	-9.773208	18.5410049	-1.327034	ASPM
ILMN_1674411	3.78e-10	1.43e-12	-9.769398	18.529421	-1.44376574	CKAP2
ILMN_2297626	3.89e-10	1.48e-12	-9.75774	18.4939627	-2.14570228	PEG10
ILMN_3251207	3.99e-10	1.54e-12	-9.746471	18.4596707	-0.7392692	TMEM19
ILMN_2408543	4.19e-10	1.63e-12	9.72808	18.4036708	1.28846824	PLAUR
ILMN_3239856	4.43e-10	1.73e-12	9.707129	18.3398229	0.85370399	NCRNA00120
ILMN_1767556	4.43e-10	1.75e-12	9.70427	18.3311049	1.79500659	C10orf10
ILMN_1695959	5.16e-10	2.05e-12	9.652842	18.1741217	1.31654921	C21orf63
ILMN_1762899	5.21e-10	2.09e-12	9.646964	18.1561577	1.68275127	EGR1
ILMN_1712505	5.40e-10	2.19e-12	-9.633001	18.113466	-0.68675814	KDELC1
ILMN_2223056	5.41e-10	2.21e-12	-9.6293	18.1021464	-1.35517698	TBX10
ILMN_1707727	5.67e-10	2.34e-12	9.611533	18.0477802	0.81820071	ANGPTL4
ILMN_2363273	6.24e-10	2.59e-12	-9.578481	17.9465361	-0.72837618	ZNF226
ILMN_1801216	6.65e-10	2.78e-12	9.555665	17.8765672	2.04067426	S100P
ILMN_2086105	6.85e-10	2.89e-12	9.543287	17.8385775	1.29329845	SPRY4
ILMN_2377240	7.42e-10	3.16e-12	-9.515337	17.7527288	-0.60476588	AKTIP
ILMN_1801090	7.75e-10	3.32e-12	-9.499137	17.7029256	-1.90382274	KRT222
ILMN_1721360	7.84e-10	3.39e-12	-9.492641	17.6829464	-1.05688388	FBXO27
ILMN_3238478	8.02e-10	3.49e-12	9.483114	17.6536334	1.53559878	SNORD11B
ILMN_1746053	9.05e-10	3.97e-12	9.44222	17.5276855	1.90342252	BCL6
ILMN_1699651	9.19e-10	4.07e-12	9.434674	17.504421	3.16337996	IL6
ILMN_1771841	9.53e-10	4.25e-12	9.420671	17.461233	2.41090579	FOSL1
ILMN_2408938	1.04e-09	4.70e-12	-9.389122	17.3638374	-1.03563861	LRRC20
ILMN_2186061	1.08e-09	4.90e-12	9.37569	17.322332	1.12649235	PFKFB3
ILMN_1747442	1.16e-09	5.28e-12	9.351682	17.2480937	1.52419864	P4HA1
ILMN_3241798	1.34e-09	6.18e-12	9.302297	17.0951618	1.31099548	SNORA41
ILMN_2388669	1.39e-09	6.42e-12	-9.290144	17.0574823	-1.39246972	GRIA3
ILMN_1737406	1.54e-09	7.25e-12	9.251787	16.9384335	0.95563321	KLF6
ILMN_1711199	1.54e-09	7.25e-12	9.251384	16.9371844	0.92610327	ZNF331
ILMN_1748751	1.59e-09	7.51e-12	9.240463	16.9032554	2.03794502	NLF2
ILMN_1702842	1.61e-09	7.67e-12	9.233646	16.8820676	1.80887446	VNN3
ILMN_1784287	1.68e-09	8.08e-12	9.217223	16.8310076	0.82301749	TGFBR3
ILMN_1790689	1.74e-09	8.40e-12	9.205293	16.7938952	1.36728495	CRISPLD2
ILMN_1795228	1.86e-09	9.04e-12	9.182111	16.7217269	0.31952957	ZFAND5
ILMN_1696375	1.94e-09	9.51e-12	-9.165978	16.6714658	-0.81120328	TTC31
ILMN_1735548	1.96e-09	9.68e-12	9.160571	16.6546152	1.31956614	HIVEP1
ILMN_1749575	2.06e-09	1.02e-11	-9.142955	16.5996851	-3.05957031	CYP7A1
ILMN_1701455	2.18e-09	1.09e-11	-9.122712	16.5365197	-0.68390523	FBXO6
ILMN_1694034	2.38e-09	1.20e-11	-9.093602	16.4456017	-1.85644403	LGALS4
ILMN_2362549	2.43e-09	1.23e-11	-9.084308	16.4165512	-1.28271136	ZWINT
ILMN_1720829	2.45e-09	1.25e-11	9.079706	16.4021636	1.71559245	ZFP36
ILMN_1738207	2.58e-09	1.32e-11	9.062061	16.3469752	1.58134075	CISH
ILMN_3247139	2.90e-09	1.50e-11	9.023082	16.2249279	1.60742938	C17orf96
ILMN_1671693	2.96e-09	1.54e-11	-9.013839	16.1959619	-0.72745829	C18orf10
ILMN_3240446	2.96e-09	1.55e-11	9.012594	16.1920592	0.69768016	ZNF286C
ILMN_1797965	3.04e-09	1.61e-11	-9.001466	16.1571714	-1.02912071	PDP2
ILMN_1790197	3.12e-09	1.66e-11	-8.991957	16.1273456	-0.73232164	FLJ20674
ILMN_2203463	3.83e-09	2.06e-11	-8.923967	15.9137888	-0.70941919	SPATS2
ILMN_3239181	3.83e-09	2.07e-11	8.921822	15.9070412	1.05317247	ITPRIP
ILMN_1775708	3.83e-09	2.08e-11	8.92144	15.9058415	1.50442686	SLC2A3
ILMN_2254994	3.85e-09	2.10e-11	-8.917884	15.8946575	-0.93874301	NNT
ILMN_2358540	3.97e-09	2.17e-11	8.90702	15.8604758	0.59181446	RBMS1
ILMN_2050790	5.20e-09	2.87e-11	-8.820679	15.5883425	-1.49226082	C11orf52
ILMN_2362232	5.22e-09	2.90e-11	8.817454	15.5781605	1.01801751	ZNF331
ILMN_1695731	5.43e-09	3.03e-11	-8.803193	15.5331243	-0.7488701	TUBG1
ILMN_3238269	5.44e-09	3.06e-11	-8.801031	15.5262964	-0.50511273	NDUFA6
ILMN_2394193	5.62e-09	3.17e-11	8.789165	15.488805	0.56733163	C14orf138
ILMN_1663042	5.75e-09	3.27e-11	8.780001	15.4598394	1.39461925	SDC4
ILMN_3272603	5.98e-09	3.42e-11	8.765957	15.4154287	0.82642074	FAM60A
ILMN_1664543	6.51e-09	3.76e-11	-8.73684	15.3232863	-1.21864173	IFIT3
ILMN_2135709	6.51e-09	3.78e-11	-8.734805	15.3168444	-1.56441652	C8orf47
ILMN_3261811	6.51e-09	3.79e-11	-8.734366	15.3154548	-0.95300291	C14orf167
ILMN_2404688	6.55e-09	3.85e-11	-8.729084	15.2987276	-0.82192204	NUPR1
ILMN_2059797	6.55e-09	3.86e-11	-8.728769	15.2977287	-1.19036907	NOL3
ILMN_1801616	6.59e-09	3.91e-11	8.724754	15.2850114	1.71510925	EMP1
ILMN_1770338	6.62e-09	3.94e-11	8.721952	15.2761355	0.73709025	TM4SF1
ILMN_1786021	6.63e-09	3.97e-11	-8.719647	15.2688343	-0.8333934	PRKAB2
ILMN_1767393	6.84e-09	4.12e-11	-8.708057	15.2321099	-1.62927898	GRIA3
ILMN_1698646	7.33e-09	4.44e-11	-8.684997	15.1589954	-0.9474986	TUBG1
ILMN_1652185	7.33e-09	4.49e-11	8.68189	15.1491405	1.25092473	IL4R
ILMN_3256801	7.33e-09	4.49e-11	-8.681438	15.147707	-1.41629811	C1orf203
ILMN_3239288	7.90e-09	4.87e-11	-8.656524	15.0686375	-1.15499211	ISM1
ILMN_1791346	7.98e-09	4.95e-11	8.651365	15.0522576	1.27376674	ATF3
ILMN_1698404	7.98e-09	5.00e-11	8.648469	15.0430605	0.75640036	ERN1
ILMN_2149204	7.98e-09	5.00e-11	-8.648465	15.0430472	-1.98475815	RTP3
ILMN_1666444	8.00e-09	5.04e-11	8.646073	15.0354494	0.88667965	RBMS1
ILMN_1760280	8.05e-09	5.10e-11	8.642222	15.023218	0.77532476	NXT1
ILMN_1732923	8.27e-09	5.27e-11	8.632303	14.9917034	1.38058732	SIPA1L2
ILMN_2129505	8.43e-09	5.39e-11	-8.624966	14.9683855	-0.55768339	CYBASC3
ILMN_2313672	8.59e-09	5.53e-11	8.617469	14.9445552	3.11817623	IL1RL1
ILMN_1740466	8.78e-09	5.68e-11	8.609067	14.9178373	0.52681066	FAM46A
ILMN_1652727	8.84e-09	5.75e-11	-8.605353	14.9060253	-1.0278104	GLT8D1
ILMN_1798256	8.85e-09	5.78e-11	8.603489	14.900097	1.05291375	UPP1
ILMN_1680139	8.86e-09	5.82e-11	8.601526	14.8938549	1.89372693	MAFF
ILMN_2387385	8.91e-09	5.89e-11	8.597888	14.8822801	2.25296061	IGFBP1
ILMN_1685005	9.10e-09	6.04e-11	8.589831	14.8566453	1.11340935	TNFRSF1A
ILMN_1660904	9.41e-09	6.28e-11	8.578016	14.8190382	1.83122194	TRIM15
ILMN_1750062	9.67e-09	6.48e-11	8.568037	14.7872647	0.83772303	PPARGC1A
ILMN_2280911	1.02e-08	6.86e-11	-8.550754	14.7322121	-0.57491152	VPS41
ILMN_1810560	1.08e-08	7.28e-11	-8.532206	14.6730921	-0.99325553	P8
ILMN_1656501	1.13e-08	7.69e-11	8.515489	14.6197765	0.6993053	DUSP5
ILMN_1807529	1.15e-08	7.87e-11	8.508339	14.5969638	1.63218804	PADI4
ILMN_1804571	1.15e-08	7.88e-11	-8.508003	14.595892	-0.74913921	ZKSCAN4
ILMN_1759787	1.15e-08	7.94e-11	8.505742	14.588677	1.75480549	THBD
ILMN_1692861	1.16e-08	8.04e-11	-8.501892	14.5763913	-0.69607482	UGT2A3
ILMN_1792978	1.16e-08	8.08e-11	8.500317	14.5713657	1.85399704	HAS2
ILMN_1670975	1.17e-08	8.17e-11	-8.496838	14.5602587	-1.36902066	C8orf47
ILMN_1677511	1.18e-08	8.33e-11	8.490742	14.5407977	1.74505429	PTGS2
ILMN_1731412	1.21e-08	8.55e-11	-8.482818	14.5154967	-0.75189192	UBTD2
ILMN_1715133	1.21e-08	8.61e-11	8.480785	14.509003	1.25260257	IVNS1ABP
ILMN_1751495	1.21e-08	8.65e-11	8.479466	14.5047899	1.86265186	FGF14
ILMN_1739428	1.23e-08	8.86e-11	-8.471815	14.4803513	-1.32469537	IFIT2
ILMN_1661695	1.25e-08	9.04e-11	8.465778	14.4610618	1.19472198	IRAK3
ILMN_1655225	1.33e-08	9.68e-11	-8.444866	14.394221	-1.07068614	C19orf25
ILMN_2232166	1.34e-08	9.76e-11	-8.442369	14.3862339	-0.50175129	CCDC90B
ILMN_3229324	1.41e-08	1.03e-10	8.424916	14.330409	0.80069121	SGK1
ILMN_1782043	1.45e-08	1.07e-10	-8.414208	14.2961415	-1.1454934	GRIA3
ILMN_1682599	1.45e-08	1.07e-10	8.414205	14.2961324	1.80216081	GPRC5A
ILMN_1767690	1.46e-08	1.08e-10	-8.410762	14.2851129	-0.79100581	SENP8
ILMN_1809323	1.55e-08	1.15e-10	-8.391007	14.221858	-1.24588696	C9orf125
ILMN_1797372	1.60e-08	1.20e-10	8.378339	14.181273	0.54980683	C3orf58
ILMN_1683243	1.61e-08	1.21e-10	-8.37544	14.171984	-0.74871313	VPS45
ILMN_2255256	1.61e-08	1.22e-10	-8.373897	14.1670374	-0.82889993	MARVELD3
ILMN_1654737	1.63e-08	1.24e-10	-8.369081	14.1516044	-0.67304222	TRIM32
ILMN_2393456	1.63e-08	1.24e-10	-8.367766	14.1473891	-1.08913267	DDO
ILMN_1770293	1.72e-08	1.32e-10	8.350241	14.0912	1.42273062	KLF5
ILMN_1803211	1.73e-08	1.33e-10	-8.346836	14.0802795	-1.2411635	FBXO2
ILMN_1770653	1.73e-08	1.34e-10	-8.344977	14.0743162	-1.05730729	MAL2
ILMN_1766613	1.91e-08	1.49e-10	8.313477	13.9732232	0.7614943	ZNF121
ILMN_1708025	2.00e-08	1.56e-10	8.298841	13.9262211	1.35081222	RBPMS
ILMN_1765644	2.01e-08	1.57e-10	-8.296095	13.9173991	-0.40783301	COMMD8
ILMN_1710523	2.09e-08	1.64e-10	-8.28328	13.8762227	-0.82925462	ATP8B1
ILMN_1805481	2.09e-08	1.65e-10	8.281137	13.8693353	0.70775	TRMT11
ILMN_1790317	2.10e-08	1.67e-10	-8.277828	13.8586996	-1.21678934	RAB26
ILMN_1677542	2.14e-08	1.71e-10	-8.270599	13.8354625	-1.58445213	TRIM14
ILMN_1694533	2.14e-08	1.71e-10	-8.269994	13.8335171	-1.0727278	RMND1
ILMN_2399571	2.24e-08	1.80e-10	-8.254703	13.7843429	-0.7369124	CBY1
ILMN_1696029	2.26e-08	1.83e-10	8.249609	13.7679564	1.25193367	FLJ36031
ILMN_1683129	2.26e-08	1.83e-10	8.249227	13.7667276	0.70255475	CCNL1
ILMN_1686461	2.30e-08	1.88e-10	-8.241634	13.742296	-1.04138287	THAP2
ILMN_1737195	2.30e-08	1.88e-10	-8.241365	13.741431	-0.88333715	CENPK
ILMN_1775257	2.38e-08	1.95e-10	8.230472	13.7063756	1.97648114	PROK2
ILMN_2383290	2.43e-08	2.00e-10	-8.222047	13.6792504	-1.6546629	TRIM14
ILMN_1797191	2.58e-08	2.14e-10	8.202434	13.616085	1.85017705	KIAA0040
ILMN_1661197	2.58e-08	2.14e-10	8.20194	13.6144932	1.38698439	CLCF1
ILMN_1728677	2.71e-08	2.26e-10	8.185245	13.5606957	1.69021412	CREB5
ILMN_1701006	2.85e-08	2.38e-10	-8.168971	13.5082278	-0.92737505	HEXIM2
ILMN_1722781	2.88e-08	2.42e-10	8.164642	13.4942645	1.65799346	EGR3
ILMN_1774733	2.89e-08	2.44e-10	8.161682	13.4847179	2.05527461	SOCS1
ILMN_1736180	2.93e-08	2.49e-10	-8.156399	13.4676775	-1.29471483	FRAT1
ILMN_1731714	2.96e-08	2.52e-10	8.151876	13.4530847	1.05143197	CREB5
ILMN_1767658	3.05e-08	2.61e-10	8.141533	13.4197087	1.57857766	RRS1
ILMN_1789781	3.05e-08	2.62e-10	8.140657	13.4168832	1.36467767	PIM3
ILMN_1685535	3.13e-08	2.70e-10	8.131477	13.3872521	1.15770618	LARP1B
ILMN_1760982	3.16e-08	2.73e-10	-8.127983	13.3759709	-1.11687273	ZNF187
ILMN_2336094	3.32e-08	2.89e-10	8.110961	13.3210005	1.64497926	ODZ3
ILMN_1758719	3.58e-08	3.12e-10	8.087304	13.2445563	0.75005508	NEDD9
ILMN_1653871	3.60e-08	3.16e-10	8.083715	13.2329567	0.63479262	NAMPT
ILMN_1720114	3.60e-08	3.16e-10	-8.0834	13.2319385	-0.75540081	GMNN
ILMN_1736042	3.63e-08	3.20e-10	-8.079293	13.2186598	-1.31761961	ME1
ILMN_1663131	3.67e-08	3.24e-10	8.075285	13.2057003	1.36463845	LYST
ILMN_1701789	3.67e-08	3.26e-10	-8.074051	13.20171	-1.3548569	IFIT3
ILMN_1785474	3.68e-08	3.29e-10	-8.070947	13.1916724	-0.65579538	ACOT12
ILMN_2162819	3.68e-08	3.30e-10	-8.070275	13.189499	-0.96499304	UGT2B11
ILMN_2088437	3.95e-08	3.55e-10	-8.048113	13.1178066	-1.15384047	CX3CR1
ILMN_1765829	4.11e-08	3.70e-10	8.035106	13.0757109	0.49791354	NUFIP2
ILMN_1727553	4.21e-08	3.81e-10	-8.026518	13.047908	-0.9544721	C5orf54
ILMN_2367743	4.29e-08	3.90e-10	-8.019174	13.0241247	-0.58128037	TUBG1
ILMN_1781986	4.29e-08	3.92e-10	-8.018146	13.0207953	-0.64029617	UCRC
ILMN_1781536	4.30e-08	3.95e-10	-8.015315	13.0116268	-0.39572217	FAH
ILMN_1703412	4.30e-08	3.95e-10	8.015254	13.0114303	0.73682044	LATS2
ILMN_1679520	4.31e-08	3.97e-10	-8.013718	13.0064564	-0.80746376	AGPAT1
ILMN_2193315	4.35e-08	4.03e-10	-8.009592	12.9930916	-1.05067766	C14orf143
ILMN_1814247	4.38e-08	4.07e-10	-8.006238	12.9822251	-0.7429048	TCFL5
ILMN_1685699	4.43e-08	4.14e-10	-8.001636	12.9673155	-1.41371037	PRSS3
ILMN_1656369	4.54e-08	4.25e-10	7.993677	12.9415255	0.53558493	C8orf4
ILMN_1768534	4.59e-08	4.31e-10	7.989013	12.926409	0.44262995	BHLHB2
ILMN_2137789	4.61e-08	4.35e-10	7.986001	12.916646	1.87247046	KLF4
ILMN_1715508	4.61e-08	4.37e-10	7.985108	12.9137522	0.97722229	NNMT
ILMN_1775501	4.61e-08	4.38e-10	7.984501	12.9117829	1.66330711	IL1B
ILMN_1693891	4.68e-08	4.46e-10	-7.978892	12.8935992	-1.36102525	MOGAT2
ILMN_2252554	4.70e-08	4.50e-10	-7.976126	12.8846322	-1.0366687	MANBAL
ILMN_1672042	4.83e-08	4.64e-10	-7.966865	12.8546029	-0.65331808	DOLPP1
ILMN_1664016	4.87e-08	4.69e-10	-7.963641	12.8441447	-0.45238689	ARHGEF18
ILMN_2322375	4.90e-08	4.75e-10	7.95942	12.8304554	1.80872898	MAFF
ILMN_1711786	4.90e-08	4.76e-10	7.959324	12.8301445	1.73572104	NFE2
ILMN_1685077	4.90e-08	4.77e-10	-7.95856	12.8276658	-0.81456341	SNX7
ILMN_1723971	4.97e-08	4.85e-10	-7.953344	12.8107432	-1.37195777	SLC29A1
ILMN_1689836	5.13e-08	5.03e-10	7.942498	12.7755503	1.27628916	C5AR1
ILMN_2096747	5.19e-08	5.11e-10	7.93783	12.7604035	0.83181713	SNORA33
ILMN_2372915	5.32e-08	5.26e-10	-7.928539	12.7302421	-1.32798173	P2RY2
ILMN_2092118	5.32e-08	5.27e-10	7.928442	12.7299291	1.59866184	FPR1
ILMN_1811535	5.44e-08	5.41e-10	-7.920378	12.7037475	-1.44177229	JUB
ILMN_1807298	5.70e-08	5.68e-10	7.905377	12.6550265	1.52447867	NR4A3
ILMN_2115434	5.92e-08	5.93e-10	-7.892677	12.6137672	-0.43387153	RAB32
ILMN_1760245	6.09e-08	6.11e-10	-7.883406	12.5836376	-0.91978036	TMEM42
ILMN_3187771	6.13e-08	6.18e-10	-7.880201	12.5732186	-0.9244228	C14orf167
ILMN_1736327	6.24e-08	6.31e-10	7.873725	12.5521687	1.02033083	CDC42EP3
