ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
7989335	0.1073	0.00013255	-4.21	0.9559	-6.02e-01	ANXA2	annexin A2
7974027	0.1073	0.00013286	-4.21	0.9539	-3.17e-01		
8032670	0.1073	0.00013623	4.20	0.9326	3.40e-01	APBA3	amyloid beta precursor protein binding family A member 3
8134460	0.1073	0.00014459	-4.18	0.8818	-3.69e-01	FLJ30064	uncharacterized LOC644975
7896917	0.1073	0.0001467	4.18	0.8695	4.64e-01	CPTP	ceramide-1-phosphate transfer protein
8002830	0.1073	0.00014784	4.17	0.8629	5.64e-01	LDHD	lactate dehydrogenase D
7998601	0.1073	0.00014969	4.17	0.8523	5.61e-01	IGFALS	insulin like growth factor binding protein acid labile subunit
7936937	0.1073	0.00015924	4.15	0.7996	5.99e-01	UROS	uroporphyrinogen III synthase
8028563	0.1073	0.00016162	4.14	0.7869	2.70e-01	MRPS12	mitochondrial ribosomal protein S12
7972890	0.1073	0.00016836	4.13	0.7521	3.72e-01	GRTP1	growth hormone regulated TBC protein 1
8044301	0.1073	0.00017068	4.13	0.7405	3.67e-01	SOWAHC	sosondowah ankyrin repeat domain family member C
8095362	0.1073	0.0001714	4.13	0.7369	3.68e-01	MT2A	metallothionein 2A
7973584	0.1073	0.00017243	4.12	0.7318	2.21e-01	RNF31	ring finger protein 31
8099811	0.1073	0.00018424	4.10	0.6753	3.44e-01		
8145470	0.1073	0.0001941	-4.08	0.6309	-2.71e-01	DPYSL2	dihydropyrimidinase like 2
7950626	0.1073	0.00019452	-4.08	0.6291	-2.67e-01	RPS20P27	ribosomal protein S20 pseudogene 27
8105596	0.1073	0.00019534	-4.08	0.6255	-3.76e-01	RGS7BP	regulator of G-protein signaling 7 binding protein
7904486	0.1073	0.00019807	-4.08	0.6137	-3.44e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
8079746	0.1073	0.00020017	4.07	0.6047	3.75e-01	TCTA	T-cell leukemia translocation altered
8133770	0.1073	0.00020824	-4.06	0.571	-3.17e-01	CCDC146	coiled-coil domain containing 146
8131844	0.1073	0.00021762	-4.05	0.5335	-7.07e-01	GPNMB	glycoprotein nmb
8110755	0.1073	0.0002183	4.05	0.5309	4.82e-01	SLC12A7	solute carrier family 12 member 7
7904506	0.1073	0.00022228	-4.04	0.5154	-3.33e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
8110649	0.1073	0.00022559	4.04	0.5029	2.62e-01	TRIM41	tripartite motif containing 41
8014863	0.1073	0.00023101	-4.03	0.4827	-2.56e-01		
8024655	0.1073	0.00023394	4.02	0.4719	4.14e-01	C19orf71	chromosome 19 open reading frame 71
7949067	0.1073	0.0002347	4.02	0.4692	3.67e-01	BAD	BCL2 associated agonist of cell death
7979281	0.1073	0.00023655	-4.02	0.4625	-2.46e-01	WDHD1	WD repeat and HMG-box DNA binding protein 1
8003204	0.1073	0.00023699	-4.02	0.4609	-2.82e-01	GINS2	GINS complex subunit 2
8160670	0.1073	0.00023813	4.02	0.4568	4.89e-01	AQP3	aquaporin 3 (Gill blood group)
8148888	0.1073	0.00024097	4.01	0.4467	3.21e-01	PPP1R16A	protein phosphatase 1 regulatory subunit 16A
7954208	0.1073	0.0002471	-4.01	0.4253	-5.31e-01	PIK3C2G	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
7897877	0.1073	0.00024712	4.01	0.4252	3.00e-01	TNFRSF1B	TNF receptor superfamily member 1B
8039884	0.1073	0.00025007	4.00	0.4152	3.53e-01	KIR2DL5B///KIR2DL5A	killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5B///killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 5A
7920382	0.1073	0.00025147	4.00	0.4104	3.62e-01	CRTC2	CREB regulated transcription coactivator 2
8060813	0.1073	0.00025179	-4.00	0.4093	-3.31e-01	MCM8	minichromosome maintenance 8 homologous recombination repair factor
8127854	0.1073	0.00026489	-3.98	0.3661	-5.51e-01	ME1	malic enzyme 1
7945349	0.1073	0.00027137	3.98	0.3455	4.10e-01	BET1L	Bet1 golgi vesicular membrane trafficking protein like
8131067	0.1073	0.00028725	3.96	0.2971	4.43e-01	GPR146	G protein-coupled receptor 146
8146550	0.1073	0.00029092	-3.95	0.2863	-6.96e-01	SDCBP	syndecan binding protein
8046861	0.1073	0.00029145	-3.95	0.2848	-3.96e-01	ITGAV	integrin subunit alpha V
7991846	0.1073	0.00029284	3.95	0.2807	5.16e-01	DECR2	2,4-dienoyl-CoA reductase 2, peroxisomal
7903719	0.1073	0.00029556	3.95	0.2729	3.61e-01	AMPD2	adenosine monophosphate deaminase 2
7937443	0.1073	0.00029614	3.95	0.2712	3.69e-01	EPS8L2	EPS8 like 2
7965110	0.1073	0.00029972	-3.94	0.261	-1.83e-01		
7945688	0.1073	0.00030146	3.94	0.256	3.95e-01	INS-IGF2///INS///IGF2	INS-IGF2 readthrough///insulin///insulin like growth factor 2
7949410	0.1073	0.00031234	-3.93	0.2259	-8.53e-01	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
8120249	0.1073	0.00031428	3.93	0.2206	5.62e-01	RN7SK///LINC01517	RNA, 7SK small nuclear///long intergenic non-protein coding RNA 1517
7914917	0.1073	0.00031755	3.92	0.2118	3.83e-01	LSM10	LSM10, U7 small nuclear RNA associated
8052269	0.1073	0.0003201	-3.92	0.205	-3.81e-01	CCDC88A	coiled-coil domain containing 88A
8140782	0.1073	0.00032252	-3.92	0.1986	-4.35e-01	ABCB1	ATP binding cassette subfamily B member 1
7904500	0.1073	0.0003297	-3.91	0.1799	-3.20e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
7975068	0.1073	0.00034195	-3.90	0.1488	-3.48e-01	ZBTB1	zinc finger and BTB domain containing 1
7901445	0.1073	0.00035284	3.89	0.1221	3.41e-01	PLA2G12AP1	phospholipase A2 group XIIA pseudogene 1
7904562	0.1073	0.00035404	-3.89	0.1193	-3.26e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
8011293	0.1073	0.00035927	3.88	0.1068	3.97e-01	CLUH	clustered mitochondria homolog
7989647	0.1073	0.00036027	-3.88	0.1044	-2.12e-01	KIAA0101	KIAA0101
8138091	0.1073	0.00036343	3.88	0.097	2.75e-01	DAGLB	diacylglycerol lipase beta
8012166	0.1073	0.00036357	3.88	0.0967	3.49e-01	NEURL4	neuralized E3 ubiquitin protein ligase 4
8015257	0.1073	0.00036591	-3.88	0.0912	-2.66e-01	KRT33A	keratin 33A
7996185	0.1073	0.00036702	3.88	0.0886	4.39e-01	MMP15	matrix metallopeptidase 15
8063097	0.1073	0.00036719	3.88	0.0882	2.84e-01	PCIF1	PDX1 C-terminal inhibiting factor 1
8152079	0.1073	0.00036906	-3.87	0.0839	-4.33e-01	PABPC1	poly(A) binding protein cytoplasmic 1
8002854	0.1073	0.00036953	3.87	0.0828	3.54e-01	BCAR1	BCAR1, Cas family scaffolding protein
7969776	0.1073	0.00037247	3.87	0.0761	1.90e-01	UBAC2	UBA domain containing 2
7942645	0.1073	0.00037757	-3.87	0.0645	-3.15e-01		
8079719	0.1073	0.00038527	-3.86	0.0473	-1.46e-01	CCDC36	coiled-coil domain containing 36
8118915	0.1073	0.00038742	3.86	0.0426	2.96e-01	ZNF76	zinc finger protein 76
7915578	0.1073	0.00038981	3.86	0.0374	3.72e-01	TMEM53	transmembrane protein 53
8019149	0.1073	0.00039559	3.85	0.0249	4.75e-01	SLC38A10	solute carrier family 38 member 10
7995803	0.1073	0.00039783	3.85	0.0201	5.41e-01	MT1JP	metallothionein 1J, pseudogene
8165711	0.1073	0.00041271	3.84	-0.0112	2.64e-01	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1
8095187	0.1073	0.00041901	-3.83	-0.024	-2.24e-01	CEP135	centrosomal protein 135
8116994	0.1073	0.00041977	3.83	-0.0256	2.18e-01		
8043697	0.1073	0.0004215	-3.83	-0.0291	-5.39e-01	ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	ankyrin repeat domain 36B pseudogene 2///ankyrin repeat domain 36C///ankyrin repeat domain 36///ankyrin repeat domain 36B
8157761	0.1073	0.00042352	3.83	-0.0332	3.04e-01	NEK6	NIMA related kinase 6
8021169	0.1073	0.00042486	3.83	-0.0358	3.54e-01	LIPG	lipase G, endothelial type
7898373	0.1073	0.00042585	3.83	-0.0378	2.36e-01		
8077082	0.1073	0.00043085	3.82	-0.0477	6.15e-01	LMF2	lipase maturation factor 2
8090420	0.1073	0.00043319	3.82	-0.0523	4.05e-01	TPRA1	transmembrane protein adipocyte associated 1
8070632	0.1073	0.00043961	3.82	-0.0648	4.09e-01	CBSL///CBS	cystathionine-beta-synthase like///cystathionine-beta-synthase
8040238	0.1073	0.00044367	3.81	-0.0727	3.09e-01	HPCAL1	hippocalcin like 1
8063955	0.1073	0.00045559	3.80	-0.0952	3.46e-01	OGFR	opioid growth factor receptor
7989387	0.1073	0.00046382	-3.80	-0.1104	-3.80e-01	VPS13C	vacuolar protein sorting 13 homolog C
8003484	0.1073	0.00047057	3.79	-0.1227	2.58e-01	VPS9D1	VPS9 domain containing 1
7916843	0.1073	0.00047292	-3.79	-0.1269	-4.01e-01	GNG12	G protein subunit gamma 12
8002211	0.1073	0.00048174	3.79	-0.1426	3.67e-01	DDX28	DEAD-box helicase 28
7971461	0.1073	0.00048417	-3.78	-0.1469	-4.97e-01	LCP1	lymphocyte cytosolic protein 1
7993946	0.1073	0.00048525	3.78	-0.1488	3.45e-01	EEF2K	eukaryotic elongation factor 2 kinase
8101893	0.1073	0.00048736	-3.78	-0.1525	-4.31e-01	ADH1C	alcohol dehydrogenase 1C (class I), gamma polypeptide
7955250	0.1073	0.00048947	3.78	-0.1561	2.99e-01	PRPF40B	pre-mRNA processing factor 40 homolog B
7929466	0.1073	0.00049335	-3.78	-0.1629	-5.11e-01	CYP2C18	cytochrome P450 family 2 subfamily C member 18
8063177	0.1073	0.00049501	3.78	-0.1657	4.87e-01	SLC2A10	solute carrier family 2 member 10
7907146	0.1073	0.00050336	-3.77	-0.1799	-2.11e-01	TBX19	T-box 19
7913824	0.1073	0.00050704	-3.77	-0.1861	-5.90e-01	RSRP1	arginine and serine rich protein 1
7902382	0.1073	0.00050965	-3.77	-0.1905	-5.65e-01	RABGGTB	Rab geranylgeranyltransferase beta subunit
7995838	0.1073	0.00050989	3.77	-0.1909	4.92e-01	MT1X	metallothionein 1X
8023914	0.1073	0.00051073	3.77	-0.1923	4.43e-01	PQLC1	PQ loop repeat containing 1
8165682	0.1073	0.00051215	-3.76	-0.1946	-1.05		
8127234	0.1073	0.00051325	-3.76	-0.1965	-4.40e-01	DST	dystonin
7967993	0.1073	0.00051549	3.76	-0.2002	1.32e-01	FGF9	fibroblast growth factor 9
8139632	0.1073	0.00051922	-3.76	-0.2063	-2.78e-01	FIGNL1	fidgetin like 1
7929032	0.1073	0.00051975	-3.76	-0.2072	-3.86e-01	FAS	Fas cell surface death receptor
7903893	0.1073	0.00052041	-3.76	-0.2082	-5.52e-01	CD53	CD53 molecule
8176286	0.1073	0.00052129	3.76	-0.2097	2.64e-01	PLCXD1	phosphatidylinositol specific phospholipase C X domain containing 1
8053801	0.1073	0.00054113	-3.75	-0.2414	-5.99e-01	ANKRD36BP2///ANKRD36C///ANKRD36///ANKRD36B	ankyrin repeat domain 36B pseudogene 2///ankyrin repeat domain 36C///ankyrin repeat domain 36///ankyrin repeat domain 36B
8032057	0.1073	0.00054259	3.75	-0.2437	3.84e-01	POLRMT	RNA polymerase mitochondrial
8066697	0.1073	0.00054993	3.74	-0.2551	3.62e-01	SLC35C2	solute carrier family 35 member C2
8126784	0.1073	0.00055659	-3.74	-0.2653	-4.99e-01	PLA2G7	phospholipase A2 group VII
8060997	0.1073	0.00055911	-3.74	-0.2692	-4.87e-01	SPTLC3	serine palmitoyltransferase long chain base subunit 3
8137208	0.1073	0.00056996	3.73	-0.2855	3.75e-01	ATP6V0E2	ATPase H+ transporting V0 subunit e2
8053158	0.1073	0.00057224	3.73	-0.2889	3.96e-01	MOGS	mannosyl-oligosaccharide glucosidase
7990457	0.1073	0.00057676	3.72	-0.2956	3.56e-01	MAN2C1	mannosidase alpha class 2C member 1
8091190	0.1073	0.00057779	-3.72	-0.2971	-3.42e-01	ATR	ATR serine/threonine kinase
8083941	0.1073	0.00058683	-3.72	-0.3103	-1.91e-01	ECT2	epithelial cell transforming 2
8095376	0.1073	0.00058848	3.72	-0.3126	3.33e-01	MT2A	metallothionein 2A
7926661	0.1073	0.00060762	3.71	-0.3398	4.11e-01	MSRB2	methionine sulfoxide reductase B2
8007730	0.1073	0.00060861	3.71	-0.3412	4.08e-01	ACBD4	acyl-CoA binding domain containing 4
8013616	0.1073	0.00060975	3.71	-0.3428	4.37e-01	SLC46A1	solute carrier family 46 member 1
7965746	0.1073	0.00062612	3.70	-0.3653	2.78e-01	GOLGA2P5	golgin A2 pseudogene 5
7932311	0.1073	0.00063102	-3.69	-0.3719	-3.11e-01	RSU1	Ras suppressor protein 1
7902396	0.1073	0.00063167	-3.69	-0.3728	-3.77e-01	SNORD45C	small nucleolar RNA, C/D box 45C
7959856	0.1073	0.00063176	3.69	-0.3729	1.76e-01	PIWIL1	piwi like RNA-mediated gene silencing 1
7977507	0.1073	0.00063177	3.69	-0.3729	1.74	RPPH1	ribonuclease P RNA component H1
8046099	0.1073	0.00063416	-3.69	-0.3761	-4.99e-01	NOSTRIN	nitric oxide synthase trafficking
8072870	0.1073	0.00064143	3.69	-0.3858	3.65e-01	PDXP	pyridoxal phosphatase
7973530	0.1073	0.00064244	3.69	-0.3871	5.82e-01	PCK2	phosphoenolpyruvate carboxykinase 2, mitochondrial
7922793	0.1073	0.00064511	-3.69	-0.3906	-2.88e-01	ARPC5	actin related protein 2/3 complex subunit 5
7903171	0.1073	0.00064587	-3.69	-0.3916	-4.71e-01	TMEM56-RWDD3///RWDD3	TMEM56-RWDD3 readthrough///RWD domain containing 3
8054054	0.1073	0.00064602	-3.69	-0.3918	-5.40e-01	ANKRD36BP2///ANKRD36///ANKRD36B	ankyrin repeat domain 36B pseudogene 2///ankyrin repeat domain 36///ankyrin repeat domain 36B
8140140	0.1073	0.00064907	3.68	-0.3958	3.52e-01	CLDN3	claudin 3
8148640	0.1073	0.00065624	3.68	-0.4052	3.71e-01		
8020847	0.1073	0.00065862	-3.68	-0.4082	-2.61e-01	DTNA	dystrobrevin alpha
7993622	0.1073	0.00066226	3.68	-0.4129	3.38e-01	ITPRIPL2	inositol 1,4,5-trisphosphate receptor interacting protein like 2
8101990	0.1073	0.0006656	-3.68	-0.4172	-2.06e-01		
7986132	0.1073	0.00066652	3.68	-0.4184	3.93e-01	MAN2A2	mannosidase alpha class 2A member 2
8071212	0.1073	0.00067056	-3.67	-0.4235	-1.74e-01	CDC45	cell division cycle 45
8035494	0.1073	0.0006741	3.67	-0.4279	3.15e-01	FKBP8	FK506 binding protein 8
8174972	0.1073	0.00067602	-3.67	-0.4304	-2.41e-01	DCAF12L1	DDB1 and CUL4 associated factor 12 like 1
8037816	0.1073	0.00067726	3.67	-0.4319	3.13e-01	STRN4	striatin 4
7950669	0.1073	0.00067892	3.67	-0.434	3.12e-01	KCTD21	potassium channel tetramerization domain containing 21
8000848	0.1073	0.00067965	3.67	-0.4349	3.58e-01	CD2BP2	CD2 cytoplasmic tail binding protein 2
7991120	0.1073	0.00069094	-3.66	-0.4489	-2.99e-01	UBE2Q2P1	ubiquitin conjugating enzyme E2 Q2 pseudogene 1
8048195	0.1073	0.00069291	-3.66	-0.4513	-2.86e-01	RPL37A	ribosomal protein L37a
7941272	0.1073	0.000696	-3.66	-0.4551	-3.70e-01	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
8094144	0.1073	0.00069657	3.66	-0.4558	3.90e-01	UNC93B1	unc-93 homolog B1 (C. elegans)
8102263	0.1073	0.00069694	3.66	-0.4562	2.22e-01	COL25A1	collagen type XXV alpha 1 chain
8003639	0.1073	0.00070582	3.66	-0.467	3.34e-01	WDR81	WD repeat domain 81
8138147	0.1073	0.00071071	3.65	-0.4728	4.37e-01	UNC93B1	unc-93 homolog B1 (C. elegans)
7951873	0.1073	0.00071936	3.65	-0.4831	4.43e-01	SIK3	SIK family kinase 3
7923378	0.1073	0.00072396	3.65	-0.4885	3.70e-01	CSRP1	cysteine and glycine rich protein 1
8137101	0.1073	0.00072532	3.65	-0.4901	2.05e-01	ZNF282	zinc finger protein 282
8080121	0.1073	0.00072811	3.65	-0.4933	2.52e-01	TEX264	testis expressed 264
7988412	0.1073	0.00073128	-3.64	-0.497	-4.22e-01		
7995797	0.1073	0.00073202	3.64	-0.4979	4.68e-01	MT1E	metallothionein 1E
7952950	0.1073	0.00073208	3.64	-0.4979	3.34e-01	LOC100049716	uncharacterized LOC100049716
8085272	0.1073	0.00073491	3.64	-0.5012	3.76e-01	LOC401052	uncharacterized LOC401052
8172280	0.1073	0.00073556	3.64	-0.502	3.11e-01	SLC9A7	solute carrier family 9 member A7
7960819	0.1073	0.00073642	3.64	-0.503	4.47e-01		
7950119	0.1073	0.00073696	3.64	-0.5036	3.32e-01	LAMTOR1	late endosomal/lysosomal adaptor, MAPK and MTOR activator 1
8083221	0.1073	0.0007389	3.64	-0.5058	2.81e-01	PBX2///PBX2P1	PBX homeobox 2///PBX homeobox 2 pseudogene 1
8134890	0.1073	0.00074619	3.64	-0.5141	3.89e-01	GNB2	G protein subunit beta 2
8009913	0.1073	0.00075317	3.63	-0.522	3.59e-01	MYO15B	myosin XVB
7998381	0.1073	0.00076027	3.63	-0.53	4.48e-01	LMF1	lipase maturation factor 1
7937415	0.1073	0.00077052	3.63	-0.5414	2.27e-01	PHRF1///PHRF1	PHD and ring finger domains 1///PHD and ring finger domains 1
8035831	0.1073	0.00077192	-3.63	-0.5429	-1.51e-01	ZNF98///ZNF492///ZNF85	zinc finger protein 98///zinc finger protein 492///zinc finger protein 85
8072817	0.1073	0.00077249	3.63	-0.5435	4.81e-01	CDC42EP1	CDC42 effector protein 1
8133176	0.1073	0.00077617	-3.62	-0.5476	-3.42e-01	RABGEF1	RAB guanine nucleotide exchange factor 1
8102643	0.1073	0.00078075	-3.62	-0.5525	-1.87e-01	CCNA2	cyclin A2
8056215	0.1073	0.0007838	3.62	-0.5558	5.71e-01		
8033118	0.1073	0.00078898	3.62	-0.5614	2.58e-01	MLLT1	MLLT1, super elongation complex subunit
8077238	0.1073	0.00079219	3.62	-0.5649	3.24e-01	D2HGDH	D-2-hydroxyglutarate dehydrogenase
8085060	0.1073	0.00079482	3.62	-0.5677	2.55e-01		
8106393	0.1073	0.00079725	-3.62	-0.5703	-2.72e-01	F2R	coagulation factor II thrombin receptor
7948418	0.1073	0.00079779	-3.62	-0.5709	-2.42e-01	OR10V1	olfactory receptor family 10 subfamily V member 1
8013919	0.1073	0.00080644	3.61	-0.58	4.39e-01	ABHD15	abhydrolase domain containing 15
7957386	0.1073	0.00080879	-3.61	-0.5825	-4.43e-01	ACSS3	acyl-CoA synthetase short-chain family member 3
8123488	0.1073	0.00080898	3.61	-0.5827	2.71e-01	LINC00574	long intergenic non-protein coding RNA 574
7997525	0.1073	0.00081023	3.61	-0.584	3.14e-01	MLYCD	malonyl-CoA decarboxylase
7933537	0.1073	0.00081404	3.61	-0.5879	3.63e-01	OGDHL	oxoglutarate dehydrogenase-like
8101224	0.1073	0.00081842	-3.61	-0.5925	-4.10e-01		
7907788	0.1073	0.00082084	3.61	-0.595	2.64e-01		
7963137	0.1073	0.00082126	-3.61	-0.5954	-7.99e-01		
7949836	0.1073	0.00082584	3.60	-0.6001	3.74e-01	CDK2AP2	cyclin dependent kinase 2 associated protein 2
7981494	0.1073	0.00083297	3.60	-0.6074	4.05e-01	AKT1	AKT serine/threonine kinase 1
8023191	0.1073	0.00083577	-3.60	-0.6103	-3.49e-01	SMAD2	SMAD family member 2
8139484	0.1073	0.00084581	3.60	-0.6204	2.73e-01	SNORA5C	small nucleolar RNA, H/ACA box 5C
7998002	0.1073	0.00084621	3.59	-0.6208	2.53e-01	ZNF276	zinc finger protein 276
8105013	0.1073	0.00084744	3.59	-0.622	3.48e-01	EGFLAM	EGF like, fibronectin type III and laminin G domains
7977241	0.1073	0.00084762	3.59	-0.6222	2.99e-01	INF2	inverted formin, FH2 and WH2 domain containing
8084945	0.1073	0.00084883	-3.59	-0.6234	-6.51e-01		
8085311	0.1073	0.00085224	3.59	-0.6268	3.28e-01	ATP2B2	ATPase plasma membrane Ca2+ transporting 2
8126512	0.1073	0.00085833	3.59	-0.6329	4.72e-01	MRPL2	mitochondrial ribosomal protein L2
8030980	0.1073	0.00085864	-3.59	-0.6332	-6.66e-01	ZNF761///ZNF525///ZNF845///ZNF765	zinc finger protein 761///zinc finger protein 525///zinc finger protein 845///zinc finger protein 765
7945058	0.1073	0.00085949	-3.59	-0.634	-3.16e-01	FAM118B	family with sequence similarity 118 member B
7904874	0.1073	0.00086872	-3.59	-0.6431	-2.58e-01	NBPF25P///NBPF19///NBPF20///NBPF10///NBPF8///NBPF9///NBPF15///NBPF11///NBPF12///NBPF3///NBPF1///NBPF14	neuroblastoma breakpoint family member 25, pseudogene///neuroblastoma breakpoint family member 19///neuroblastoma breakpoint family member 20///neuroblastoma breakpoint family member 10///neuroblastoma breakpoint family member 8///neuroblastoma breakpoint family member 9///neuroblastoma breakpoint family member 15///neuroblastoma breakpoint family member 11///neuroblastoma breakpoint family member 12///neuroblastoma breakpoint family member 3///neuroblastoma breakpoint family member 1///neuroblastoma breakpoint family member 14
7912706	0.1073	0.00087226	3.58	-0.6465	2.44e-01	EPHA2	EPH receptor A2
8003627	0.1073	0.00087262	3.58	-0.6468	3.50e-01	TIMM22///TIMM22	translocase of inner mitochondrial membrane 22 homolog (yeast)///translocase of inner mitochondrial membrane 22 homolog (yeast)
7924551	0.1073	0.00088731	-3.58	-0.661	-4.02e-01		
8116445	0.1073	0.00088914	3.58	-0.6627	2.89e-01	FLT4	fms related tyrosine kinase 4
7990618	0.1073	0.00088956	-3.58	-0.6631	-3.02e-01		
7999079	0.1073	0.00089089	3.58	-0.6644	3.15e-01	ADCY9	adenylate cyclase 9
8040113	0.1073	0.00089493	3.58	-0.6682	2.33e-01	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
8130129	0.1073	0.00089776	-3.57	-0.6709	-4.54e-01	NUP43	nucleoporin 43
7925523	0.1073	0.00091069	-3.57	-0.683	-4.02e-01		
8093386	0.1073	0.0009129	3.57	-0.6851	3.52e-01	MYL5	myosin light chain 5
8135929	0.1073	0.00091721	-3.57	-0.6891	-4.13e-01		
8096158	0.1073	0.00091961	3.57	-0.6913	2.58e-01		
8032608	0.1073	0.00092513	3.56	-0.6964	4.24e-01	MFSD12	major facilitator superfamily domain containing 12
